;Scopy version,f4beeb1
;Exported on,dimanche octobre 13/10/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,-3.2,3.01974,3.22106
1,-3.199,3.01974,3.22106
2,-3.198,3.07465,3.25766
3,-3.197,3.03804,3.23936
4,-3.196,3.07465,3.25766
5,-3.195,3.01974,3.22106
6,-3.194,3.01974,3.22106
7,-3.193,3.01974,3.20276
8,-3.192,3.01974,3.20276
9,-3.191,3.03804,3.20276
10,-3.19,3.00144,3.20276
11,-3.189,3.00144,3.20276
12,-3.188,3.00144,3.18446
13,-3.187,3.00144,3.18446
14,-3.186,3.00144,3.16615
15,-3.185,3.00144,3.20276
16,-3.184,3.03804,3.20276
17,-3.183,3.01974,3.20276
18,-3.182,3.01974,3.20276
19,-3.181,3.01974,3.20276
20,-3.18,3.01974,3.23936
21,-3.179,3.01974,3.22106
22,-3.178,3.07465,3.25766
23,-3.177,3.03804,3.23936
24,-3.176,3.07465,3.23936
25,-3.175,3.01974,3.23936
26,-3.174,3.01974,3.23936
27,-3.173,3.01974,3.20276
28,-3.172,3.01974,3.20276
29,-3.171,3.03804,3.20276
30,-3.17,3.00144,3.20276
31,-3.169,3.00144,3.20276
32,-3.168,3.00144,3.20276
33,-3.167,3.00144,3.18446
34,-3.166,3.00144,3.18446
35,-3.165,3.01974,3.20276
36,-3.164,3.03804,3.22106
37,-3.163,3.00144,3.18446
38,-3.162,3.01974,3.20276
39,-3.161,3.01974,3.20276
40,-3.16,3.01974,3.22106
41,-3.159,3.01974,3.22106
42,-3.158,3.01974,3.22106
43,-3.157,3.01974,3.22106
44,-3.156,3.01974,3.22106
45,-3.155,3.03804,3.23936
46,-3.154,3.03804,3.23936
47,-3.153,3.01974,3.22106
48,-3.152,3.01974,3.20276
49,-3.151,3.01974,3.20276
50,-3.15,3.01974,3.20276
51,-3.149,3.00144,3.22106
52,-3.148,3.00144,3.18446
53,-3.147,3.00144,3.18446
54,-3.146,3.00144,3.18446
55,-3.145,3.01974,3.20276
56,-3.144,3.03804,3.22106
57,-3.143,3.00144,3.18446
58,-3.142,3.01974,3.20276
59,-3.141,3.01974,3.20276
60,-3.14,3.01974,3.22106
61,-3.139,3.01974,3.22106
62,-3.138,3.07465,3.25766
63,-3.137,3.03804,3.23936
64,-3.136,3.03804,3.23936
65,-3.135,3.03804,3.23936
66,-3.134,3.01974,3.23936
67,-3.133,3.01974,3.20276
68,-3.132,3.01974,3.20276
69,-3.131,3.01974,3.20276
70,-3.13,3.00144,3.20276
71,-3.129,3.00144,3.22106
72,-3.128,3.00144,3.18446
73,-3.127,3.00144,3.18446
74,-3.126,3.00144,3.18446
75,-3.125,3.01974,3.20276
76,-3.124,3.03804,3.22106
77,-3.123,3.00144,3.18446
78,-3.122,3.01974,3.20276
79,-3.121,3.01974,3.20276
80,-3.12,3.01974,3.22106
81,-3.119,3.03804,3.22106
82,-3.118,3.03804,3.22106
83,-3.117,3.03804,3.25766
84,-3.116,3.03804,3.23936
85,-3.115,3.03804,3.23936
86,-3.114,3.01974,3.23936
87,-3.113,3.01974,3.20276
88,-3.112,3.01974,3.20276
89,-3.111,3.03804,3.20276
90,-3.11,3.00144,3.20276
91,-3.109,3.00144,3.22106
92,-3.108,3.00144,3.18446
93,-3.107,3.00144,3.18446
94,-3.106,3.00144,3.18446
95,-3.105,3.01974,3.20276
96,-3.104,3.03804,3.22106
97,-3.103,3.00144,3.18446
98,-3.102,3.01974,3.20276
99,-3.101,3.01974,3.20276
100,-3.1,3.01974,3.22106
101,-3.099,3.01974,3.22106
102,-3.098,3.07465,3.23936
103,-3.097,3.03804,3.23936
104,-3.096,3.03804,3.23936
105,-3.095,3.03804,3.23936
106,-3.094,3.01974,3.22106
107,-3.093,3.01974,3.20276
108,-3.092,3.01974,3.20276
109,-3.091,3.03804,3.20276
110,-3.09,3.00144,3.20276
111,-3.089,3.00144,3.20276
112,-3.088,3.00144,3.18446
113,-3.087,3.00144,3.18446
114,-3.086,3.00144,3.18446
115,-3.085,3.01974,3.20276
116,-3.084,3.03804,3.22106
117,-3.083,3.00144,3.18446
118,-3.082,3.01974,3.20276
119,-3.081,3.01974,3.20276
120,-3.08,3.01974,3.22106
121,-3.079,3.01974,3.22106
122,-3.078,3.07465,3.23936
123,-3.077,3.03804,3.23936
124,-3.076,3.03804,3.23936
125,-3.075,3.03804,3.23936
