;Scopy version,f4beeb1
;Exported on,vendredi octobre 11/10/2024
;Device,M2K
;Nr of samples,98304
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,-0.8192,0.16777,-0.0697199
1,-0.8191,0.16777,-0.0697199
2,-0.819,0.16777,-0.0697199
3,-0.8189,0.16777,-0.0697199
4,-0.8188,0.16777,-0.0697199
5,-0.8187,0.16777,-0.0697199
6,-0.8186,0.16777,-0.0697199
7,-0.8185,0.16777,-0.0697199
8,-0.8184,0.16777,-0.0697199
9,-0.8183,0.16777,-0.0697199
10,-0.8182,0.16777,-0.0697199
11,-0.8181,0.16777,-0.0697199
12,-0.818,0.16777,-0.0697199
13,-0.8179,0.16777,-0.0697199
14,-0.8178,0.16777,-0.0697199
15,-0.8177,0.16777,-0.0697199
16,-0.8176,0.16777,-0.0697199
17,-0.8175,0.16777,-0.0697199
18,-0.8174,0.16777,-0.0697199
19,-0.8173,0.16777,-0.0697199
20,-0.8172,0.16777,-0.0697199
21,-0.8171,0.16777,-0.0697199
22,-0.817,0.16777,-0.0697199
23,-0.8169,0.16777,-0.0697199
24,-0.8168,0.16777,-0.0697199
25,-0.8167,0.16777,-0.0697199
26,-0.8166,0.16777,-0.0697199
27,-0.8165,0.16777,-0.0697199
28,-0.8164,0.16777,-0.0697199
29,-0.8163,0.16777,-0.0697199
30,-0.8162,0.16777,-0.0697199
31,-0.8161,0.16777,-0.0697199
32,-0.816,0.16777,-0.0697199
33,-0.8159,0.16777,-0.0697199
34,-0.8158,0.16777,-0.0697199
35,-0.8157,0.16777,-0.0697199
36,-0.8156,0.16777,-0.0697199
37,-0.8155,0.16777,-0.0697199
38,-0.8154,0.16777,-0.0697199
39,-0.8153,0.16777,-0.0697199
40,-0.8152,0.16777,-0.0697199
41,-0.8151,0.16777,-0.0697199
42,-0.815,0.16777,-0.0697199
43,-0.8149,0.16777,-0.0697199
44,-0.8148,0.16777,-0.0697199
45,-0.8147,0.16777,-0.0697199
46,-0.8146,0.16777,-0.0697199
47,-0.8145,0.16777,-0.0697199
48,-0.8144,0.16777,-0.0697199
49,-0.8143,0.16777,-0.0697199
50,-0.8142,0.16777,-0.0697199
51,-0.8141,0.16777,-0.0697199
52,-0.814,0.16777,-0.0697199
53,-0.8139,0.16777,-0.0697199
54,-0.8138,0.16777,-0.0697199
55,-0.8137,0.16777,-0.0697199
56,-0.8136,0.16777,-0.0697199
57,-0.8135,0.16777,-0.0697199
58,-0.8134,0.16777,-0.0697199
59,-0.8133,0.16777,-0.0697199
60,-0.8132,0.16777,-0.0697199
61,-0.8131,0.16777,-0.0697199
62,-0.813,0.16777,-0.0697199
63,-0.8129,0.16777,-0.0697199
64,-0.8128,0.16777,-0.0697199
65,-0.8127,0.16777,-0.0697199
66,-0.8126,0.16777,-0.0697199
67,-0.8125,0.16777,-0.0697199
68,-0.8124,0.16777,-0.0697199
69,-0.8123,0.16777,-0.0697199
70,-0.8122,0.16777,-0.0697199
71,-0.8121,0.16777,-0.0697199
72,-0.812,0.16777,-0.0697199
73,-0.8119,0.16777,-0.0697199
74,-0.8118,0.16777,-0.0697199
75,-0.8117,0.16777,-0.0697199
76,-0.8116,0.16777,-0.0697199
77,-0.8115,0.16777,-0.0697199
78,-0.8114,0.16777,-0.0697199
79,-0.8113,0.16777,-0.0697199
80,-0.8112,0.16777,-0.0697199
81,-0.8111,0.16777,-0.0697199
82,-0.811,0.16777,-0.0697199
83,-0.8109,0.16777,-0.0697199
84,-0.8108,0.16777,-0.0697199
85,-0.8107,0.16777,-0.0697199
86,-0.8106,0.16777,-0.0697199
87,-0.8105,0.16777,-0.0697199
88,-0.8104,0.16777,-0.0697199
89,-0.8103,0.16777,-0.0697199
90,-0.8102,0.16777,-0.0697199
91,-0.8101,0.16777,-0.0697199
