;Scopy version,f4beeb1
;Exported on,vendredi octobre 04/10/2024
;Device,M2K
;Nr of samples,3200
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),M1(V)
0,-1.6,0.239258
1,-1.599,0.239258
2,-1.598,0.239258
3,-1.597,0.239258
4,-1.596,0.239258
5,-1.595,0.239258
6,-1.594,0.276367
7,-1.593,0.3125
8,-1.592,0.3125
9,-1.591,0.276367
10,-1.59,0.276367
11,-1.589,0.239258
12,-1.588,0.276367
13,-1.587,0.276367
14,-1.586,0.331055
15,-1.585,0.331055
16,-1.584,0.331055
17,-1.583,0.331055
18,-1.582,0.3125
19,-1.581,0.331055
20,-1.58,0.276367
21,-1.579,0.239258
22,-1.578,0.239258
23,-1.577,0.239258
24,-1.576,0.239258
25,-1.575,0.239258
26,-1.574,0.239258
27,-1.573,0.239258
28,-1.572,0.276367
29,-1.571,0.331055
30,-1.57,0.3125
31,-1.569,0.276367
32,-1.568,0.239258
33,-1.567,0.293945
34,-1.566,0.348633
35,-1.565,0.331055
36,-1.564,0.331055
37,-1.563,0.348633
38,-1.562,0.293945
39,-1.561,0.239258
40,-1.56,0.239258
41,-1.559,0.239258
42,-1.558,0.239258
43,-1.557,0.239258
44,-1.556,0.239258
45,-1.555,0.239258
46,-1.554,0.239258
47,-1.553,0.239258
48,-1.552,0.239258
49,-1.551,0.239258
50,-1.55,0.239258
51,-1.549,0.239258
52,-1.548,0.239258
53,-1.547,0.239258
54,-1.546,0.348633
55,-1.545,0.331055
56,-1.544,0.331055
57,-1.543,0.348633
58,-1.542,0.293945
59,-1.541,0.276367
60,-1.54,0.239258
61,-1.539,0.239258
62,-1.538,0.239258
63,-1.537,0.239258
64,-1.536,0.239258
65,-1.535,0.239258
66,-1.534,0.239258
67,-1.533,0.239258
68,-1.532,0.239258
69,-1.531,0.239258
70,-1.53,0.239258
71,-1.529,0.239258
72,-1.528,0.276367
73,-1.527,0.3125
74,-1.526,0.3125
75,-1.525,0.331055
76,-1.524,0.331055
77,-1.523,0.348633
78,-1.522,0.293945
79,-1.521,0.276367
80,-1.52,0.276367
81,-1.519,0.239258
82,-1.518,0.239258
83,-1.517,0.239258
84,-1.516,0.239258
85,-1.515,0.239258
86,-1.514,0.239258
87,-1.513,0.239258
88,-1.512,0.239258
89,-1.511,0.239258
90,-1.51,0.239258
91,-1.509,0.239258
92,-1.508,0.239258
93,-1.507,0.239258
94,-1.506,0.348633
95,-1.505,0.331055
96,-1.504,0.331055
97,-1.503,0.331055
98,-1.502,0.3125
99,-1.501,0.276367
100,-1.5,0.276367
101,-1.499,0.239258
102,-1.498,0.239258
103,-1.497,0.239258
104,-1.496,0.239258
105,-1.495,0.239258
106,-1.494,0.239258
107,-1.493,0.239258
108,-1.492,0.239258
109,-1.491,0.239258
110,-1.49,0.239258
111,-1.489,0.239258
112,-1.488,0.276367
113,-1.487,0.276367
114,-1.486,0.331055
115,-1.485,0.331055
116,-1.484,0.331055
117,-1.483,0.331055
118,-1.482,0.3125
119,-1.481,0.276367
120,-1.48,0.276367
121,-1.479,0.239258
122,-1.478,0.239258
123,-1.477,0.239258
124,-1.476,0.239258
125,-1.475,0.239258
126,-1.474,0.239258
127,-1.473,0.239258
128,-1.472,0.239258
129,-1.471,0.239258
130,-1.47,0.239258
131,-1.469,0.239258
132,-1.468,0.276367
133,-1.467,0.276367
134,-1.466,0.3125
135,-1.465,0.331055
136,-1.464,0.331055
137,-1.463,0.3125
138,-1.462,0.276367
139,-1.461,0.276367
140,-1.46,0.239258
141,-1.459,0.239258
142,-1.458,0.239258
143,-1.457,0.239258
144,-1.456,0.239258
145,-1.455,0.239258
146,-1.454,0.239258
147,-1.453,0.239258
148,-1.452,0.239258
149,-1.451,0.239258
150,-1.45,0.239258
151,-1.449,0.239258
152,-1.448,0.276367
153,-1.447,0.276367
154,-1.446,0.331055
155,-1.445,0.331055
156,-1.444,0.348633
157,-1.443,0.276367
158,-1.442,0.276367
159,-1.441,0.276367
160,-1.44,0.239258
161,-1.439,0.239258
162,-1.438,0.239258
163,-1.437,0.239258
164,-1.436,0.239258
165,-1.435,0.239258
166,-1.434,0.239258
167,-1.433,0.239258
168,-1.432,0.293945
169,-1.431,0.293945
170,-1.43,0.239258
171,-1.429,0.239258
172,-1.428,0.276367
173,-1.427,0.276367
174,-1.426,0.331055
175,-1.425,0.331055
176,-1.424,0.331055
177,-1.423,0.348633
178,-1.422,0.293945
179,-1.421,0.239258
180,-1.42,0.239258
181,-1.419,0.239258
182,-1.418,0.239258
183,-1.417,0.239258
184,-1.416,0.239258
