;Scopy version,f4beeb1
;Exported on,vendredi octobre 04/10/2024
;Device,M2K
;Nr of samples,3200
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),M1(V)
0,-1.6,0.0742188
1,-1.599,0.0742188
2,-1.598,0.0742188
3,-1.597,0.0742188
4,-1.596,0.0742188
5,-1.595,0.0742188
6,-1.594,0.0742188
7,-1.593,0.0742188
8,-1.592,0.0742188
9,-1.591,0.0742188
10,-1.59,0.0742188
11,-1.589,0.0742188
12,-1.588,0.09375
13,-1.587,0.09375
14,-1.586,0.110352
15,-1.585,0.0742188
16,-1.584,0.0742188
17,-1.583,0.0742188
18,-1.582,0.0742188
19,-1.581,0.0742188
20,-1.58,0.0742188
21,-1.579,0.0742188
22,-1.578,0.0742188
23,-1.577,0.0742188
24,-1.576,0.0742188
25,-1.575,0.0742188
26,-1.574,0.0742188
27,-1.573,0.0742188
28,-1.572,0.0742188
29,-1.571,0.0742188
30,-1.57,0.0742188
31,-1.569,0.0742188
32,-1.568,0.09375
33,-1.567,0.09375
34,-1.566,0.09375
35,-1.565,0.110352
36,-1.564,0.0742188
37,-1.563,0.0742188
38,-1.562,0.0742188
39,-1.561,0.0742188
40,-1.56,0.0742188
41,-1.559,0.0742188
42,-1.558,0.0742188
43,-1.557,0.0742188
44,-1.556,0.0742188
45,-1.555,0.0742188
46,-1.554,0.0742188
47,-1.553,0.0742188
48,-1.552,0.0742188
49,-1.551,0.0742188
50,-1.55,0.0742188
51,-1.549,0.0742188
52,-1.548,0.09375
53,-1.547,0.09375
54,-1.546,0.09375
55,-1.545,0.110352
56,-1.544,0.0742188
57,-1.543,0.0742188
58,-1.542,0.0742188
59,-1.541,0.0742188
60,-1.54,0.0742188
61,-1.539,0.0742188
62,-1.538,0.0742188
63,-1.537,0.0742188
64,-1.536,0.0742188
65,-1.535,0.0742188
66,-1.534,0.0742188
67,-1.533,0.0742188
68,-1.532,0.0742188
69,-1.531,0.0742188
70,-1.53,0.0742188
71,-1.529,0.0742188
72,-1.528,0.09375
73,-1.527,0.09375
74,-1.526,0.09375
75,-1.525,0.09375
76,-1.524,0.09375
77,-1.523,0.09375
78,-1.522,0.0742188
79,-1.521,0.0742188
80,-1.52,0.0742188
81,-1.519,0.0742188
82,-1.518,0.0742188
83,-1.517,0.0742188
84,-1.516,0.0742188
85,-1.515,0.0742188
86,-1.514,0.0742188
87,-1.513,0.0742188
88,-1.512,0.0742188
89,-1.511,0.0742188
90,-1.51,0.0742188
91,-1.509,0.0742188
92,-1.508,0.09375
93,-1.507,0.09375
94,-1.506,0.09375
95,-1.505,0.09375
96,-1.504,0.09375
97,-1.503,0.09375
98,-1.502,0.0742188
99,-1.501,0.0742188
100,-1.5,0.0742188
101,-1.499,0.0742188
102,-1.498,0.0742188
103,-1.497,0.0742188
104,-1.496,0.0742188
105,-1.495,0.0742188
106,-1.494,0.0742188
107,-1.493,0.0742188
108,-1.492,0.0742188
109,-1.491,0.0742188
110,-1.49,0.0742188
111,-1.489,0.0742188
112,-1.488,0.0742188
113,-1.487,0.09375
114,-1.486,0.09375
115,-1.485,0.0742188
116,-1.484,0.0742188
117,-1.483,0.0742188
118,-1.482,0.0742188
119,-1.481,0.0742188
120,-1.48,0.0742188
121,-1.479,0.0742188
122,-1.478,0.0742188
123,-1.477,0.0742188
124,-1.476,0.0742188
125,-1.475,0.0742188
126,-1.474,0.0742188
127,-1.473,0.0742188
128,-1.472,0.0742188
129,-1.471,0.0742188
130,-1.47,0.0742188
131,-1.469,0.0742188
132,-1.468,0.09375
133,-1.467,0.09375
134,-1.466,0.09375
135,-1.465,0.110352
136,-1.464,0.0742188
137,-1.463,0.0742188
138,-1.462,0.0742188
139,-1.461,0.0742188
140,-1.46,0.0742188
141,-1.459,0.0742188
142,-1.458,0.0742188
143,-1.457,0.0742188
144,-1.456,0.0742188
145,-1.455,0.0742188
146,-1.454,0.0742188
147,-1.453,0.0742188
148,-1.452,0.0742188
149,-1.451,0.0742188
150,-1.45,0.0742188
151,-1.449,0.0742188
152,-1.448,0.09375
153,-1.447,0.09375
154,-1.446,0.09375
155,-1.445,0.09375
156,-1.444,0.09375
157,-1.443,0.09375
158,-1.442,0.0742188
159,-1.441,0.0742188
160,-1.44,0.0742188
161,-1.439,0.0742188
162,-1.438,0.0742188
163,-1.437,0.0742188
164,-1.436,0.0742188
165,-1.435,0.0742188
166,-1.434,0.0742188
167,-1.433,0.0742188
168,-1.432,0.0742188
169,-1.431,0.0742188
170,-1.43,0.0742188
171,-1.429,0.0742188
172,-1.428,0.09375
173,-1.427,0.09375
174,-1.426,0.09375
175,-1.425,0.110352
176,-1.424,0.0742188
177,-1.423,0.0742188
178,-1.422,0.0742188
179,-1.421,0.0742188
180,-1.42,0.0742188
181,-1.419,0.0742188
182,-1.418,0.0742188
183,-1.417,0.0742188
184,-1.416,0.0742188
185,-1.415,0.0742188
186,-1.414,0.0742188
187,-1.413,0.0742188
188,-1.412,0.0742188
189,-1.411,0.0742188
190,-1.41,0.0742188
191,-1.409,0.0742188
192,-1.408,0.09375
193,-1.407,0.09375
194,-1.406,0.09375
195,-1.405,0.09375
196,-1.404,0.110352
197,-1.403,0.0742188
198,-1.402,0.0742188
199,-1.401,0.0742188
200,-1.4,0.0742188
201,-1.399,0.0742188
202,-1.398,0.0742188
203,-1.397,0.0742188
204,-1.396,0.0742188
205,-1.395,0.0742188
206,-1.394,0.0742188
207,-1.393,0.0742188
208,-1.392,0.0742188
209,-1.391,0.0742188
210,-1.39,0.0742188
211,-1.389,0.0742188
212,-1.388,0.09375
213,-1.387,0.09375
214,-1.386,0.09375
215,-1.385,0.09375
