;Scopy version,438f138
;Exported on,samedi décembre 14/12/2024
;Device,M2K
;Nr of samples,3200
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-1.6,0.573885
1,-1.599,0.573885
2,-1.598,0.575624
3,-1.597,0.575624
4,-1.596,0.575624
5,-1.595,0.575624
6,-1.594,0.577363
7,-1.593,0.577363
8,-1.592,0.579102
9,-1.591,0.582579
10,-1.59,0.582579
11,-1.589,0.584318
12,-1.588,0.582579
13,-1.587,0.584318
14,-1.586,0.584318
15,-1.585,0.582579
16,-1.584,0.582579
17,-1.583,0.582579
18,-1.582,0.582579
19,-1.581,0.582579
20,-1.58,0.582579
21,-1.579,0.582579
22,-1.578,0.582579
23,-1.577,0.582579
24,-1.576,0.582579
25,-1.575,0.582579
26,-1.574,0.582579
27,-1.573,0.586057
28,-1.572,0.582579
29,-1.571,0.584318
30,-1.57,0.586057
31,-1.569,0.582579
32,-1.568,0.579102
33,-1.567,0.579102
34,-1.566,0.579102
35,-1.565,0.582579
36,-1.564,0.577363
37,-1.563,0.582579
38,-1.562,0.582579
39,-1.561,0.582579
40,-1.56,0.579102
41,-1.559,0.579102
42,-1.558,0.579102
43,-1.557,0.584318
44,-1.556,0.579102
45,-1.555,0.582579
46,-1.554,0.582579
47,-1.553,0.584318
48,-1.552,0.577363
49,-1.551,0.582579
50,-1.55,0.582579
51,-1.549,0.582579
52,-1.548,0.582579
53,-1.547,0.582579
54,-1.546,0.584318
55,-1.545,0.582579
56,-1.544,0.582579
57,-1.543,0.582579
58,-1.542,0.582579
59,-1.541,0.582579
60,-1.54,0.582579
61,-1.539,0.582579
62,-1.538,0.584318
63,-1.537,0.582579
64,-1.536,0.582579
65,-1.535,0.582579
66,-1.534,0.582579
67,-1.533,0.582579
68,-1.532,0.582579
69,-1.531,0.584318
70,-1.53,0.584318
71,-1.529,0.584318
72,-1.528,0.582579
73,-1.527,0.582579
74,-1.526,0.582579
75,-1.525,0.582579
76,-1.524,0.582579
77,-1.523,0.582579
78,-1.522,0.582579
79,-1.521,0.582579
80,-1.52,0.579102
81,-1.519,0.582579
82,-1.518,0.582579
83,-1.517,0.582579
84,-1.516,0.582579
85,-1.515,0.582579
86,-1.514,0.582579
87,-1.513,0.586057
88,-1.512,0.582579
89,-1.511,0.584318
90,-1.51,0.584318
91,-1.509,0.584318
92,-1.508,0.584318
