;Scopy version,438f138
;Exported on,samedi décembre 14/12/2024
;Device,M2K
;Nr of samples,8000
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.04,0.298429
1,-0.03999,0.295255
2,-0.03998,0.295255
3,-0.03997,0.298429
4,-0.03996,0.296842
5,-0.03995,0.296842
6,-0.03994,0.296842
7,-0.03993,0.295255
8,-0.03992,0.295255
9,-0.03991,0.295255
10,-0.0399,0.295255
11,-0.03989,0.296842
12,-0.03988,0.296842
13,-0.03987,0.296842
14,-0.03986,0.296842
15,-0.03985,0.296842
16,-0.03984,0.296842
17,-0.03983,0.296842
18,-0.03982,0.296842
19,-0.03981,0.296842
20,-0.0398,0.296842
21,-0.03979,0.296842
22,-0.03978,0.296842
23,-0.03977,0.296842
24,-0.03976,0.296842
25,-0.03975,0.296842
26,-0.03974,0.296842
27,-0.03973,0.296842
28,-0.03972,0.296842
29,-0.03971,0.296842
30,-0.0397,0.296842
31,-0.03969,0.296842
32,-0.03968,0.296842
33,-0.03967,0.296842
34,-0.03966,0.296842
35,-0.03965,0.296842
36,-0.03964,0.296842
37,-0.03963,0.296842
38,-0.03962,0.296842
39,-0.03961,0.296842
40,-0.0396,0.296842
41,-0.03959,0.296842
42,-0.03958,0.296842
43,-0.03957,0.296842
44,-0.03956,0.296842
45,-0.03955,0.296842
46,-0.03954,0.296842
47,-0.03953,0.296842
48,-0.03952,0.296842
49,-0.03951,0.296842
50,-0.0395,0.296842
51,-0.03949,0.296842
52,-0.03948,0.296842
53,-0.03947,0.296842
54,-0.03946,0.296842
55,-0.03945,0.296842
56,-0.03944,0.296842
57,-0.03943,0.296842
58,-0.03942,0.296842
59,-0.03941,0.296842
60,-0.0394,0.296842
61,-0.03939,0.296842
62,-0.03938,0.296842
63,-0.03937,0.296842
64,-0.03936,0.295255
65,-0.03935,0.298429
66,-0.03934,0.296842
67,-0.03933,0.295255
68,-0.03932,0.298429
69,-0.03931,0.296842
70,-0.0393,0.296842
71,-0.03929,0.296842
72,-0.03928,0.296842
73,-0.03927,0.296842
74,-0.03926,0.296842
75,-0.03925,0.296842
76,-0.03924,0.296842
77,-0.03923,0.296842
78,-0.03922,0.296842
79,-0.03921,0.296842
80,-0.0392,0.296842
81,-0.03919,0.296842
82,-0.03918,0.296842
83,-0.03917,0.296842
84,-0.03916,0.298429
85,-0.03915,0.295255
86,-0.03914,0.296842
87,-0.03913,0.296842
88,-0.03912,0.296842
89,-0.03911,0.296842
90,-0.0391,0.296842
91,-0.03909,0.296842
92,-0.03908,0.295255
93,-0.03907,0.296842
94,-0.03906,0.296842
95,-0.03905,0.296842
96,-0.03904,0.296842
97,-0.03903,0.298429
98,-0.03902,0.293668
99,-0.03901,0.296842
100,-0.039,0.295255
101,-0.03899,0.298429
102,-0.03898,0.295255
103,-0.03897,0.295255
104,-0.03896,0.295255
