;Scopy version,438f138
;Exported on,samedi décembre 14/12/2024
;Device,M2K
;Nr of samples,3200
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-1.575,0.570407
1,-1.574,0.572146
2,-1.573,0.572146
3,-1.572,0.570407
4,-1.571,0.570407
5,-1.57,0.570407
6,-1.569,0.568669
7,-1.568,0.570407
8,-1.567,0.570407
9,-1.566,0.570407
10,-1.565,0.570407
11,-1.564,0.570407
12,-1.563,0.570407
13,-1.562,0.570407
14,-1.561,0.570407
15,-1.56,0.572146
16,-1.559,0.572146
17,-1.558,0.572146
18,-1.557,0.572146
19,-1.556,0.572146
20,-1.555,0.568669
21,-1.554,0.568669
22,-1.553,0.568669
23,-1.552,0.568669
24,-1.551,0.568669
25,-1.55,0.568669
26,-1.549,0.568669
27,-1.548,0.568669
28,-1.547,0.568669
29,-1.546,0.568669
30,-1.545,0.568669
31,-1.544,0.570407
32,-1.543,0.570407
33,-1.542,0.570407
34,-1.541,0.570407
35,-1.54,0.570407
36,-1.539,0.570407
37,-1.538,0.570407
38,-1.537,0.570407
39,-1.536,0.570407
40,-1.535,0.570407
41,-1.534,0.570407
42,-1.533,0.570407
43,-1.532,0.570407
44,-1.531,0.568669
45,-1.53,0.568669
46,-1.529,0.568669
47,-1.528,0.570407
48,-1.527,0.570407
49,-1.526,0.570407
50,-1.525,0.568669
51,-1.524,0.572146
52,-1.523,0.570407
53,-1.522,0.570407
54,-1.521,0.570407
55,-1.52,0.570407
56,-1.519,0.570407
57,-1.518,0.572146
58,-1.517,0.572146
59,-1.516,0.572146
60,-1.515,0.570407
61,-1.514,0.570407
62,-1.513,0.570407
63,-1.512,0.570407
64,-1.511,0.570407
65,-1.51,0.570407
66,-1.509,0.572146
67,-1.508,0.572146
68,-1.507,0.570407
69,-1.506,0.570407
70,-1.505,0.570407
71,-1.504,0.570407
72,-1.503,0.570407
73,-1.502,0.572146
74,-1.501,0.572146
75,-1.5,0.572146
76,-1.499,0.570407
77,-1.498,0.573885
78,-1.497,0.568669
79,-1.496,0.573885
80,-1.495,0.568669
81,-1.494,0.572146
82,-1.493,0.572146
83,-1.492,0.573885
84,-1.491,0.56693
