;Scopy version,438f138
;Exported on,samedi décembre 14/12/2024
;Device,M2K
;Nr of samples,3200
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.016,0.293668
1,-0.01599,0.293668
2,-0.01598,0.293668
3,-0.01597,0.293668
4,-0.01596,0.293668
5,-0.01595,0.293668
6,-0.01594,0.293668
7,-0.01593,0.293668
8,-0.01592,0.293668
9,-0.01591,0.295255
10,-0.0159,0.293668
11,-0.01589,0.293668
12,-0.01588,0.293668
13,-0.01587,0.293668
14,-0.01586,0.293668
15,-0.01585,0.293668
16,-0.01584,0.293668
17,-0.01583,0.293668
18,-0.01582,0.293668
19,-0.01581,0.293668
20,-0.0158,0.293668
21,-0.01579,0.293668
22,-0.01578,0.293668
23,-0.01577,0.293668
24,-0.01576,0.293668
25,-0.01575,0.293668
26,-0.01574,0.293668
27,-0.01573,0.293668
28,-0.01572,0.293668
29,-0.01571,0.293668
30,-0.0157,0.293668
31,-0.01569,0.293668
32,-0.01568,0.293668
33,-0.01567,0.293668
34,-0.01566,0.293668
35,-0.01565,0.293668
36,-0.01564,0.293668
37,-0.01563,0.293668
38,-0.01562,0.293668
39,-0.01561,0.293668
40,-0.0156,0.293668
41,-0.01559,0.293668
42,-0.01558,0.293668
43,-0.01557,0.293668
44,-0.01556,0.293668
45,-0.01555,0.293668
46,-0.01554,0.293668
47,-0.01553,0.293668
48,-0.01552,0.293668
49,-0.01551,0.293668
50,-0.0155,0.293668
51,-0.01549,0.293668
52,-0.01548,0.293668
53,-0.01547,0.293668
54,-0.01546,0.293668
55,-0.01545,0.293668
56,-0.01544,0.293668
57,-0.01543,0.293668
58,-0.01542,0.293668
59,-0.01541,0.293668
60,-0.0154,0.293668
61,-0.01539,0.293668
62,-0.01538,0.293668
63,-0.01537,0.293668
64,-0.01536,0.293668
65,-0.01535,0.293668
66,-0.01534,0.293668
67,-0.01533,0.293668
68,-0.01532,0.293668
69,-0.01531,0.293668
70,-0.0153,0.293668
71,-0.01529,0.293668
72,-0.01528,0.293668
73,-0.01527,0.293668
74,-0.01526,0.293668
75,-0.01525,0.293668
76,-0.01524,0.293668
77,-0.01523,0.293668
78,-0.01522,0.295255
79,-0.01521,0.295255
80,-0.0152,0.295255
81,-0.01519,0.295255
82,-0.01518,0.293668
83,-0.01517,0.296842
84,-0.01516,0.295255
85,-0.01515,0.295255
86,-0.01514,0.295255
87,-0.01513,0.295255
88,-0.01512,0.295255
89,-0.01511,0.295255
90,-0.0151,0.295255
91,-0.01509,0.295255
92,-0.01508,0.295255
93,-0.01507,0.296842
94,-0.01506,0.293668
95,-0.01505,0.293668
96,-0.01504,0.293668
97,-0.01503,0.293668
98,-0.01502,0.293668
99,-0.01501,0.293668
100,-0.015,0.293668
101,-0.01499,0.293668
102,-0.01498,0.293668
103,-0.01497,0.293668
104,-0.01496,0.293668
105,-0.01495,0.293668
106,-0.01494,0.293668
107,-0.01493,0.293668
