;Scopy version,438f138
;Exported on,samedi décembre 14/12/2024
;Device,M2K
;Nr of samples,3200
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),Ref
0,-1.6,0.572146
1,-1.599,0.572146
2,-1.598,0.570407
3,-1.597,0.570407
4,-1.596,0.570407
5,-1.595,0.570407
6,-1.594,0.570407
7,-1.593,0.570407
8,-1.592,0.572146
9,-1.591,0.572146
10,-1.59,0.570407
11,-1.589,0.570407
12,-1.588,0.570407
13,-1.587,0.572146
14,-1.586,0.572146
15,-1.585,0.572146
16,-1.584,0.572146
17,-1.583,0.573885
18,-1.582,0.570407
19,-1.581,0.572146
20,-1.58,0.572146
21,-1.579,0.572146
22,-1.578,0.570407
23,-1.577,0.570407
24,-1.576,0.570407
25,-1.575,0.572146
26,-1.574,0.570407
27,-1.573,0.570407
28,-1.572,0.570407
29,-1.571,0.570407
30,-1.57,0.570407
31,-1.569,0.572146
32,-1.568,0.572146
33,-1.567,0.573885
34,-1.566,0.572146
35,-1.565,0.572146
36,-1.564,0.572146
37,-1.563,0.572146
38,-1.562,0.572146
39,-1.561,0.572146
40,-1.56,0.572146
41,-1.559,0.573885
42,-1.558,0.572146
43,-1.557,0.568669
44,-1.556,0.568669
45,-1.555,0.568669
46,-1.554,0.570407
47,-1.553,0.570407
48,-1.552,0.570407
49,-1.551,0.570407
50,-1.55,0.572146
51,-1.549,0.570407
52,-1.548,0.570407
53,-1.547,0.572146
54,-1.546,0.572146
55,-1.545,0.570407
56,-1.544,0.572146
57,-1.543,0.572146
58,-1.542,0.572146
59,-1.541,0.570407
60,-1.54,0.570407
61,-1.539,0.570407
62,-1.538,0.570407
63,-1.537,0.570407
64,-1.536,0.570407
65,-1.535,0.570407
66,-1.534,0.570407
67,-1.533,0.570407
68,-1.532,0.570407
69,-1.531,0.570407
70,-1.53,0.572146
71,-1.529,0.572146
72,-1.528,0.572146
73,-1.527,0.572146
74,-1.526,0.572146
75,-1.525,0.572146
76,-1.524,0.572146
77,-1.523,0.572146
78,-1.522,0.572146
79,-1.521,0.572146
80,-1.52,0.572146
81,-1.519,0.572146
82,-1.518,0.572146
83,-1.517,0.570407
84,-1.516,0.570407
85,-1.515,0.570407
86,-1.514,0.570407
87,-1.513,0.570407
88,-1.512,0.572146
89,-1.511,0.572146
90,-1.51,0.572146
91,-1.509,0.572146
92,-1.508,0.572146
93,-1.507,0.572146
94,-1.506,0.572146
95,-1.505,0.572146
96,-1.504,0.572146
97,-1.503,0.573885
98,-1.502,0.573885
99,-1.501,0.572146
100,-1.5,0.572146
101,-1.499,0.572146
102,-1.498,0.572146
103,-1.497,0.572146
104,-1.496,0.572146
105,-1.495,0.572146
106,-1.494,0.572146
107,-1.493,0.568669
108,-1.492,0.568669
109,-1.491,0.570407
110,-1.49,0.570407
111,-1.489,0.570407
112,-1.488,0.570407
113,-1.487,0.572146
114,-1.486,0.572146
115,-1.485,0.570407
116,-1.484,0.570407
117,-1.483,0.570407
118,-1.482,0.570407
119,-1.481,0.570407
120,-1.48,0.570407
121,-1.479,0.570407
122,-1.478,0.570407
123,-1.477,0.568669
124,-1.476,0.568669
125,-1.475,0.568669
126,-1.474,0.570407
127,-1.473,0.570407
128,-1.472,0.570407
129,-1.471,0.570407
130,-1.47,0.572146
131,-1.469,0.572146
132,-1.468,0.572146
133,-1.467,0.572146
134,-1.466,0.572146
135,-1.465,0.572146
136,-1.464,0.572146
137,-1.463,0.572146
138,-1.462,0.572146
139,-1.461,0.570407
140,-1.46,0.570407
141,-1.459,0.570407
142,-1.458,0.570407
143,-1.457,0.570407
144,-1.456,0.570407
145,-1.455,0.572146
146,-1.454,0.572146
147,-1.453,0.570407
148,-1.452,0.570407
149,-1.451,0.572146
