;Scopy version,438f138
;Exported on,samedi décembre 14/12/2024
;Device,M2K
;Nr of samples,3200
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),Ref
0,-1.6,0.584318
1,-1.599,0.584318
2,-1.598,0.579102
3,-1.597,0.579102
4,-1.596,0.579102
5,-1.595,0.582579
6,-1.594,0.582579
7,-1.593,0.582579
8,-1.592,0.582579
9,-1.591,0.582579
10,-1.59,0.579102
11,-1.589,0.582579
12,-1.588,0.582579
13,-1.587,0.582579
14,-1.586,0.582579
15,-1.585,0.584318
16,-1.584,0.584318
17,-1.583,0.587796
18,-1.582,0.582579
19,-1.581,0.582579
20,-1.58,0.582579
21,-1.579,0.582579
22,-1.578,0.582579
23,-1.577,0.582579
24,-1.576,0.582579
25,-1.575,0.584318
26,-1.574,0.582579
27,-1.573,0.579102
28,-1.572,0.582579
29,-1.571,0.582579
30,-1.57,0.582579
31,-1.569,0.582579
32,-1.568,0.584318
33,-1.567,0.584318
34,-1.566,0.582579
35,-1.565,0.579102
36,-1.564,0.579102
37,-1.563,0.582579
38,-1.562,0.582579
39,-1.561,0.582579
40,-1.56,0.582579
41,-1.559,0.584318
42,-1.558,0.582579
43,-1.557,0.577363
44,-1.556,0.582579
45,-1.555,0.582579
46,-1.554,0.582579
47,-1.553,0.582579
48,-1.552,0.582579
49,-1.551,0.584318
50,-1.55,0.579102
51,-1.549,0.579102
52,-1.548,0.579102
53,-1.547,0.582579
54,-1.546,0.582579
55,-1.545,0.582579
56,-1.544,0.582579
57,-1.543,0.584318
58,-1.542,0.582579
59,-1.541,0.582579
60,-1.54,0.582579
61,-1.539,0.582579
62,-1.538,0.582579
63,-1.537,0.582579
64,-1.536,0.582579
65,-1.535,0.584318
66,-1.534,0.584318
67,-1.533,0.579102
68,-1.532,0.579102
69,-1.531,0.579102
70,-1.53,0.582579
71,-1.529,0.582579
72,-1.528,0.582579
73,-1.527,0.584318
74,-1.526,0.582579
75,-1.525,0.582579
76,-1.524,0.582579
77,-1.523,0.584318
78,-1.522,0.584318
79,-1.521,0.584318
80,-1.52,0.584318
81,-1.519,0.586057
82,-1.518,0.582579
83,-1.517,0.582579
84,-1.516,0.582579
85,-1.515,0.582579
86,-1.514,0.582579
87,-1.513,0.582579
88,-1.512,0.582579
89,-1.511,0.582579
90,-1.51,0.582579
91,-1.509,0.579102
92,-1.508,0.575624
93,-1.507,0.575624
94,-1.506,0.575624
95,-1.505,0.575624
96,-1.504,0.575624
97,-1.503,0.575624
98,-1.502,0.577363
99,-1.501,0.573885
100,-1.5,0.572146
101,-1.499,0.573885
102,-1.498,0.573885
103,-1.497,0.573885
104,-1.496,0.573885
105,-1.495,0.573885
