;Scopy version,438f138
;Exported on,samedi décembre 14/12/2024
;Device,M2K
;Nr of samples,3200
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),Ref
0,-1.6,0.587796
1,-1.599,0.586057
2,-1.598,0.586057
3,-1.597,0.587796
4,-1.596,0.587796
5,-1.595,0.587796
6,-1.594,0.587796
7,-1.593,0.587796
8,-1.592,0.589535
9,-1.591,0.586057
10,-1.59,0.586057
11,-1.589,0.586057
12,-1.588,0.586057
13,-1.587,0.586057
14,-1.586,0.586057
15,-1.585,0.586057
16,-1.584,0.584318
17,-1.583,0.584318
18,-1.582,0.584318
19,-1.581,0.584318
20,-1.58,0.586057
21,-1.579,0.586057
22,-1.578,0.586057
23,-1.577,0.586057
24,-1.576,0.587796
25,-1.575,0.586057
26,-1.574,0.586057
27,-1.573,0.586057
28,-1.572,0.586057
29,-1.571,0.586057
30,-1.57,0.586057
31,-1.569,0.586057
32,-1.568,0.586057
33,-1.567,0.586057
34,-1.566,0.586057
35,-1.565,0.586057
36,-1.564,0.586057
37,-1.563,0.586057
38,-1.562,0.586057
39,-1.561,0.586057
40,-1.56,0.587796
41,-1.559,0.586057
42,-1.558,0.586057
43,-1.557,0.586057
44,-1.556,0.587796
45,-1.555,0.587796
46,-1.554,0.587796
47,-1.553,0.587796
48,-1.552,0.587796
49,-1.551,0.586057
50,-1.55,0.587796
51,-1.549,0.587796
52,-1.548,0.587796
53,-1.547,0.587796
54,-1.546,0.587796
55,-1.545,0.584318
56,-1.544,0.589535
57,-1.543,0.586057
58,-1.542,0.586057
59,-1.541,0.586057
60,-1.54,0.586057
61,-1.539,0.586057
62,-1.538,0.587796
63,-1.537,0.587796
64,-1.536,0.587796
65,-1.535,0.587796
66,-1.534,0.587796
67,-1.533,0.587796
68,-1.532,0.589535
69,-1.531,0.587796
70,-1.53,0.587796
71,-1.529,0.587796
72,-1.528,0.589535
73,-1.527,0.584318
74,-1.526,0.584318
75,-1.525,0.584318
76,-1.524,0.584318
77,-1.523,0.584318
78,-1.522,0.584318
79,-1.521,0.586057
80,-1.52,0.582579
81,-1.519,0.577363
82,-1.518,0.577363
83,-1.517,0.577363
84,-1.516,0.577363
85,-1.515,0.577363
86,-1.514,0.577363
87,-1.513,0.579102
88,-1.512,0.579102
89,-1.511,0.577363
90,-1.51,0.577363
91,-1.509,0.577363
92,-1.508,0.577363
93,-1.507,0.577363
94,-1.506,0.577363
95,-1.505,0.577363
96,-1.504,0.577363
97,-1.503,0.577363
98,-1.502,0.573885
99,-1.501,0.577363
100,-1.5,0.577363
101,-1.499,0.577363
102,-1.498,0.579102
103,-1.497,0.579102
104,-1.496,0.579102
105,-1.495,0.577363
106,-1.494,0.577363
107,-1.493,0.579102
108,-1.492,0.579102
109,-1.491,0.579102
110,-1.49,0.579102
111,-1.489,0.579102
112,-1.488,0.579102
113,-1.487,0.577363
114,-1.486,0.577363
115,-1.485,0.577363
116,-1.484,0.577363
117,-1.483,0.577363
118,-1.482,0.577363
119,-1.481,0.579102
120,-1.48,0.579102
121,-1.479,0.579102
122,-1.478,0.579102
123,-1.477,0.579102
124,-1.476,0.579102
125,-1.475,0.579102
126,-1.474,0.579102
127,-1.473,0.582579
128,-1.472,0.582579
129,-1.471,0.582579
130,-1.47,0.579102
131,-1.469,0.579102
132,-1.468,0.582579
133,-1.467,0.579102
134,-1.466,0.579102
135,-1.465,0.579102
136,-1.464,0.582579
137,-1.463,0.577363
138,-1.462,0.577363
139,-1.461,0.577363
140,-1.46,0.577363
141,-1.459,0.577363
142,-1.458,0.577363
143,-1.457,0.579102
144,-1.456,0.579102
145,-1.455,0.577363
146,-1.454,0.577363
147,-1.453,0.577363
148,-1.452,0.577363
149,-1.451,0.579102
150,-1.45,0.577363
151,-1.449,0.579102
152,-1.448,0.579102
153,-1.447,0.577363
154,-1.446,0.577363
155,-1.445,0.577363
156,-1.444,0.577363
157,-1.443,0.577363
158,-1.442,0.577363
159,-1.441,0.577363
160,-1.44,0.577363
161,-1.439,0.577363
162,-1.438,0.577363
163,-1.437,0.577363
164,-1.436,0.579102
165,-1.435,0.579102
166,-1.434,0.579102
167,-1.433,0.579102
168,-1.432,0.582579
169,-1.431,0.579102
170,-1.43,0.579102
171,-1.429,0.579102
172,-1.428,0.579102
173,-1.427,0.579102
174,-1.426,0.575624
175,-1.425,0.579102
176,-1.424,0.579102
177,-1.423,0.577363
178,-1.422,0.577363
179,-1.421,0.577363
180,-1.42,0.579102
181,-1.419,0.579102
182,-1.418,0.579102
183,-1.417,0.579102
184,-1.416,0.582579
185,-1.415,0.582579
186,-1.414,0.579102
187,-1.413,0.579102
188,-1.412,0.579102
189,-1.411,0.582579
190,-1.41,0.577363
191,-1.409,0.582579
192,-1.408,0.582579
193,-1.407,0.579102
194,-1.406,0.579102
195,-1.405,0.579102
196,-1.404,0.579102
197,-1.403,0.579102
198,-1.402,0.579102
199,-1.401,0.579102
200,-1.4,0.582579
201,-1.399,0.582579
202,-1.398,0.577363
203,-1.397,0.577363
204,-1.396,0.577363
205,-1.395,0.579102
206,-1.394,0.579102
207,-1.393,0.579102
208,-1.392,0.579102
209,-1.391,0.579102
210,-1.39,0.577363
211,-1.389,0.577363
212,-1.388,0.577363
213,-1.387,0.577363
214,-1.386,0.577363
215,-1.385,0.577363
216,-1.384,0.577363
217,-1.383,0.577363
218,-1.382,0.577363
219,-1.381,0.577363
220,-1.38,0.577363
221,-1.379,0.577363
222,-1.378,0.577363
223,-1.377,0.579102
224,-1.376,0.579102
225,-1.375,0.579102
226,-1.374,0.579102
227,-1.373,0.579102
228,-1.372,0.579102
229,-1.371,0.579102
230,-1.37,0.579102
231,-1.369,0.579102
232,-1.368,0.582579
233,-1.367,0.579102
