;Scopy version,438f138
;Exported on,samedi décembre 14/12/2024
;Device,M2K
;Nr of samples,3200
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-1.6,0.862566
1,-1.599,0.862566
2,-1.598,0.860828
3,-1.597,0.860828
4,-1.596,0.860828
5,-1.595,0.860828
6,-1.594,0.860828
7,-1.593,0.864305
8,-1.592,0.864305
9,-1.591,0.864305
10,-1.59,0.860828
11,-1.589,0.860828
12,-1.588,0.862566
13,-1.587,0.862566
14,-1.586,0.862566
15,-1.585,0.862566
16,-1.584,0.864305
17,-1.583,0.862566
18,-1.582,0.862566
19,-1.581,0.860828
20,-1.58,0.862566
21,-1.579,0.862566
22,-1.578,0.862566
23,-1.577,0.862566
24,-1.576,0.864305
25,-1.575,0.864305
26,-1.574,0.860828
27,-1.573,0.860828
28,-1.572,0.862566
29,-1.571,0.862566
30,-1.57,0.862566
31,-1.569,0.864305
32,-1.568,0.864305
33,-1.567,0.866044
34,-1.566,0.862566
35,-1.565,0.862566
36,-1.564,0.862566
37,-1.563,0.862566
38,-1.562,0.862566
39,-1.561,0.862566
40,-1.56,0.864305
41,-1.559,0.864305
42,-1.558,0.859089
43,-1.557,0.859089
44,-1.556,0.859089
45,-1.555,0.862566
46,-1.554,0.860828
47,-1.553,0.860828
48,-1.552,0.864305
49,-1.551,0.864305
50,-1.55,0.860828
51,-1.549,0.860828
52,-1.548,0.860828
53,-1.547,0.862566
54,-1.546,0.860828
55,-1.545,0.864305
56,-1.544,0.862566
57,-1.543,0.862566
58,-1.542,0.859089
59,-1.541,0.859089
60,-1.54,0.860828
61,-1.539,0.860828
62,-1.538,0.860828
63,-1.537,0.860828
64,-1.536,0.864305
65,-1.535,0.864305
66,-1.534,0.860828
67,-1.533,0.860828
68,-1.532,0.862566
69,-1.531,0.862566
70,-1.53,0.862566
71,-1.529,0.862566
72,-1.528,0.864305
73,-1.527,0.862566
74,-1.526,0.862566
75,-1.525,0.860828
76,-1.524,0.862566
77,-1.523,0.862566
78,-1.522,0.862566
79,-1.521,0.862566
80,-1.52,0.864305
81,-1.519,0.862566
82,-1.518,0.862566
83,-1.517,0.860828
84,-1.516,0.864305
85,-1.515,0.862566
86,-1.514,0.862566
87,-1.513,0.862566
88,-1.512,0.864305
89,-1.511,0.866044
90,-1.51,0.862566
91,-1.509,0.859089
92,-1.508,0.864305
93,-1.507,0.862566
94,-1.506,0.862566
95,-1.505,0.866044
96,-1.504,0.864305
97,-1.503,0.866044
98,-1.502,0.862566
99,-1.501,0.862566
100,-1.5,0.862566
101,-1.499,0.862566
102,-1.498,0.862566
103,-1.497,0.864305
104,-1.496,0.864305
105,-1.495,0.866044
106,-1.494,0.860828
107,-1.493,0.859089
108,-1.492,0.859089
109,-1.491,0.859089
110,-1.49,0.859089
111,-1.489,0.860828
112,-1.488,0.859089
113,-1.487,0.860828
114,-1.486,0.859089
115,-1.485,0.859089
116,-1.484,0.859089
117,-1.483,0.862566
118,-1.482,0.860828
119,-1.481,0.860828
120,-1.48,0.860828
121,-1.479,0.862566
122,-1.478,0.859089
123,-1.477,0.859089
124,-1.476,0.859089
125,-1.475,0.860828
126,-1.474,0.855611
127,-1.473,0.862566
128,-1.472,0.860828
129,-1.471,0.864305
130,-1.47,0.860828
131,-1.469,0.860828
132,-1.468,0.860828
133,-1.467,0.864305
134,-1.466,0.862566
135,-1.465,0.862566
136,-1.464,0.862566
137,-1.463,0.864305
138,-1.462,0.860828
139,-1.461,0.860828
140,-1.46,0.859089
141,-1.459,0.862566
142,-1.458,0.860828
143,-1.457,0.860828
144,-1.456,0.860828
145,-1.455,0.864305
146,-1.454,0.860828
147,-1.453,0.860828
148,-1.452,0.860828
149,-1.451,0.864305
150,-1.45,0.862566
151,-1.449,0.864305
152,-1.448,0.864305
153,-1.447,0.866044
154,-1.446,0.862566
155,-1.445,0.862566
156,-1.444,0.862566
157,-1.443,0.862566
158,-1.442,0.862566
159,-1.441,0.862566
160,-1.44,0.864305
161,-1.439,0.864305
162,-1.438,0.862566
163,-1.437,0.862566
164,-1.436,0.862566
165,-1.435,0.866044
166,-1.434,0.864305
167,-1.433,0.864305
168,-1.432,0.866044
169,-1.431,0.866044
170,-1.43,0.862566
171,-1.429,0.859089
172,-1.428,0.859089
173,-1.427,0.859089
174,-1.426,0.859089
175,-1.425,0.860828
176,-1.424,0.860828
177,-1.423,0.862566
178,-1.422,0.859089
179,-1.421,0.859089
180,-1.42,0.859089
181,-1.419,0.862566
182,-1.418,0.860828
183,-1.417,0.860828
184,-1.416,0.860828
185,-1.415,0.864305
186,-1.414,0.859089
187,-1.413,0.860828
188,-1.412,0.855611
189,-1.411,0.862566
190,-1.41,0.860828
191,-1.409,0.860828
192,-1.408,0.860828
193,-1.407,0.864305
194,-1.406,0.860828
195,-1.405,0.860828
196,-1.404,0.860828
197,-1.403,0.864305
198,-1.402,0.862566
199,-1.401,0.862566
200,-1.4,0.862566
201,-1.399,0.864305
202,-1.398,0.862566
203,-1.397,0.860828
204,-1.396,0.860828
205,-1.395,0.860828
206,-1.394,0.860828
207,-1.393,0.862566
208,-1.392,0.862566
209,-1.391,0.864305
210,-1.39,0.860828
211,-1.389,0.864305
212,-1.388,0.862566
213,-1.387,0.862566
214,-1.386,0.862566
215,-1.385,0.864305
216,-1.384,0.864305
217,-1.383,0.864305
218,-1.382,0.864305
219,-1.381,0.862566
220,-1.38,0.860828
221,-1.379,0.864305
222,-1.378,0.862566
223,-1.377,0.862566
224,-1.376,0.862566
225,-1.375,0.864305
226,-1.374,0.864305
227,-1.373,0.862566
228,-1.372,0.862566
229,-1.371,0.866044
