;Scopy version,438f138
;Exported on,samedi décembre 14/12/2024
;Device,M2K
;Nr of samples,3200
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-1.6,0.569127
1,-1.599,0.567389
2,-1.598,0.567389
3,-1.597,0.567389
4,-1.596,0.567389
5,-1.595,0.567389
6,-1.594,0.567389
7,-1.593,0.567389
8,-1.592,0.56565
9,-1.591,0.569127
10,-1.59,0.56565
11,-1.589,0.567389
12,-1.588,0.567389
13,-1.587,0.567389
14,-1.586,0.567389
15,-1.585,0.567389
16,-1.584,0.56565
17,-1.583,0.569127
18,-1.582,0.567389
19,-1.581,0.567389
20,-1.58,0.56565
21,-1.579,0.569127
22,-1.578,0.567389
23,-1.577,0.567389
24,-1.576,0.56565
25,-1.575,0.569127
26,-1.574,0.567389
27,-1.573,0.567389
28,-1.572,0.56565
29,-1.571,0.569127
30,-1.57,0.567389
31,-1.569,0.569127
32,-1.568,0.569127
33,-1.567,0.569127
34,-1.566,0.569127
35,-1.565,0.569127
36,-1.564,0.569127
37,-1.563,0.569127
38,-1.562,0.567389
39,-1.561,0.567389
40,-1.56,0.570866
41,-1.559,0.570866
42,-1.558,0.569127
43,-1.557,0.56565
44,-1.556,0.567389
45,-1.555,0.567389
46,-1.554,0.567389
47,-1.553,0.563911
48,-1.552,0.563911
49,-1.551,0.567389
50,-1.55,0.56565
51,-1.549,0.56565
52,-1.548,0.563911
53,-1.547,0.567389
54,-1.546,0.567389
55,-1.545,0.567389
56,-1.544,0.56565
57,-1.543,0.569127
58,-1.542,0.567389
59,-1.541,0.567389
60,-1.54,0.567389
61,-1.539,0.569127
62,-1.538,0.569127
63,-1.537,0.567389
64,-1.536,0.567389
65,-1.535,0.567389
66,-1.534,0.567389
67,-1.533,0.567389
68,-1.532,0.56565
69,-1.531,0.569127
70,-1.53,0.567389
71,-1.529,0.569127
72,-1.528,0.569127
73,-1.527,0.569127
74,-1.526,0.569127
75,-1.525,0.569127
76,-1.524,0.569127
77,-1.523,0.569127
78,-1.522,0.569127
79,-1.521,0.569127
80,-1.52,0.569127
81,-1.519,0.569127
82,-1.518,0.569127
83,-1.517,0.569127
84,-1.516,0.569127
85,-1.515,0.569127
86,-1.514,0.569127
87,-1.513,0.569127
88,-1.512,0.569127
89,-1.511,0.569127
90,-1.51,0.569127
91,-1.509,0.569127
92,-1.508,0.569127
93,-1.507,0.569127
94,-1.506,0.569127
95,-1.505,0.569127
96,-1.504,0.569127
97,-1.503,0.569127
98,-1.502,0.570866
99,-1.501,0.570866
100,-1.5,0.570866
101,-1.499,0.570866
102,-1.498,0.570866
103,-1.497,0.570866
104,-1.496,0.570866
105,-1.495,0.570866
106,-1.494,0.567389
107,-1.493,0.56565
108,-1.492,0.56565
109,-1.491,0.56565
110,-1.49,0.56565
111,-1.489,0.563911
112,-1.488,0.563911
113,-1.487,0.56565
114,-1.486,0.56565
115,-1.485,0.56565
116,-1.484,0.56565
117,-1.483,0.56565
118,-1.482,0.56565
119,-1.481,0.56565
120,-1.48,0.563911
121,-1.479,0.567389
122,-1.478,0.563911
123,-1.477,0.56565
124,-1.476,0.56565
125,-1.475,0.56565
126,-1.474,0.56565
127,-1.473,0.56565
128,-1.472,0.563911
129,-1.471,0.567389
130,-1.47,0.563911
131,-1.469,0.56565
132,-1.468,0.563911
133,-1.467,0.567389
134,-1.466,0.567389
135,-1.465,0.567389
136,-1.464,0.56565
137,-1.463,0.569127
138,-1.462,0.56565
139,-1.461,0.567389
140,-1.46,0.567389
141,-1.459,0.56565
142,-1.458,0.56565
143,-1.457,0.56565
144,-1.456,0.563911
145,-1.455,0.567389
146,-1.454,0.563911
147,-1.453,0.56565
148,-1.452,0.56565
149,-1.451,0.56565
150,-1.45,0.56565
151,-1.449,0.56565
152,-1.448,0.56565
153,-1.447,0.56565
154,-1.446,0.567389
155,-1.445,0.567389
156,-1.444,0.567389
157,-1.443,0.567389
158,-1.442,0.56565
159,-1.441,0.567389
160,-1.44,0.567389
161,-1.439,0.567389
162,-1.438,0.567389
163,-1.437,0.567389
164,-1.436,0.567389
165,-1.435,0.567389
166,-1.434,0.567389
167,-1.433,0.567389
168,-1.432,0.56565
169,-1.431,0.569127
170,-1.43,0.56565
171,-1.429,0.56565
172,-1.428,0.56565
173,-1.427,0.56565
174,-1.426,0.56565
175,-1.425,0.56565
176,-1.424,0.563911
177,-1.423,0.567389
178,-1.422,0.563911
179,-1.421,0.56565
180,-1.42,0.563911
181,-1.419,0.567389
182,-1.418,0.56565
183,-1.417,0.577822
184,-1.416,0.583038
185,-1.415,0.586516
186,-1.414,0.588255
187,-1.413,0.589994
188,-1.412,0.589994
189,-1.411,0.589994
190,-1.41,0.589994
191,-1.409,0.588255
192,-1.408,0.591732
193,-1.407,0.591732
194,-1.406,0.591732
195,-1.405,0.591732
196,-1.404,0.591732
197,-1.403,0.591732
198,-1.402,0.591732
199,-1.401,0.591732
200,-1.4,0.589994
201,-1.399,0.593471
202,-1.398,0.589994
203,-1.397,0.589994
204,-1.396,0.588255
205,-1.395,0.591732
206,-1.394,0.589994
207,-1.393,0.588255
208,-1.392,0.591732
209,-1.391,0.591732
210,-1.39,0.591732
211,-1.389,0.588255
212,-1.388,0.589994
213,-1.387,0.591732
214,-1.386,0.591732
215,-1.385,0.591732
216,-1.384,0.591732
217,-1.383,0.591732
218,-1.382,0.591732
219,-1.381,0.591732
220,-1.38,0.591732
221,-1.379,0.591732
222,-1.378,0.589994
223,-1.377,0.591732
224,-1.376,0.589994
225,-1.375,0.593471
226,-1.374,0.589994
227,-1.373,0.591732
228,-1.372,0.591732
229,-1.371,0.591732
230,-1.37,0.591732
231,-1.369,0.591732
232,-1.368,0.589994
233,-1.367,0.593471
234,-1.366,0.591732
235,-1.365,0.588255
236,-1.364,0.588255
237,-1.363,0.591732
238,-1.362,0.591732
239,-1.361,0.589994
240,-1.36,0.591732
241,-1.359,0.591732
242,-1.358,0.589994
243,-1.357,0.589994
244,-1.356,0.589994
245,-1.355,0.589994
246,-1.354,0.589994
247,-1.353,0.589994
248,-1.352,0.589994
249,-1.351,0.589994
250,-1.35,0.589994
251,-1.349,0.589994
252,-1.348,0.589994
253,-1.347,0.589994
254,-1.346,0.591732
255,-1.345,0.591732
256,-1.344,0.591732
257,-1.343,0.591732
258,-1.342,0.591732
259,-1.341,0.591732
260,-1.34,0.591732
261,-1.339,0.591732
262,-1.338,0.591732
263,-1.337,0.591732
264,-1.336,0.591732
265,-1.335,0.591732
266,-1.334,0.591732
267,-1.333,0.588255
268,-1.332,0.589994
269,-1.331,0.591732
270,-1.33,0.591732
271,-1.329,0.591732
272,-1.328,0.591732
273,-1.327,0.591732
274,-1.326,0.591732
275,-1.325,0.591732
276,-1.324,0.591732
277,-1.323,0.591732
278,-1.322,0.591732
279,-1.321,0.591732
280,-1.32,0.591732
281,-1.319,0.591732
282,-1.318,0.589994
283,-1.317,0.591732
284,-1.316,0.591732
285,-1.315,0.591732
286,-1.314,0.591732
287,-1.313,0.591732
288,-1.312,0.589994
289,-1.311,0.593471
290,-1.31,0.589994
291,-1.309,0.591732
292,-1.308,0.591732
293,-1.307,0.591732
294,-1.306,0.593471
295,-1.305,0.593471
296,-1.304,0.593471
297,-1.303,0.593471
