;Scopy version,438f138
;Exported on,mercredi avril 30/04/2025
;Device,M2K
;Nr of samples,160000
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.08192,0.0711652
1,-0.08191,0.0711652
2,-0.0819,0.0711652
3,-0.08189,0.0711652
4,-0.08188,0.0711652
5,-0.08187,0.0711652
6,-0.08186,0.0711652
7,-0.08185,0.0711652
8,-0.08184,0.0711652
9,-0.08183,0.0711652
10,-0.08182,0.0711652
11,-0.08181,0.0711652
12,-0.0818,0.0711652
13,-0.08179,0.0711652
14,-0.08178,0.0711652
15,-0.08177,0.0711652
16,-0.08176,0.0711652
17,-0.08175,0.0711652
18,-0.08174,0.0711652
19,-0.08173,0.0711652
20,-0.08172,0.0711652
21,-0.08171,0.0711652
22,-0.0817,0.0711652
23,-0.08169,0.0695781
24,-0.08168,0.0695781
25,-0.08167,0.0711652
26,-0.08166,0.0711652
27,-0.08165,0.0711652
28,-0.08164,0.0711652
29,-0.08163,0.0711652
30,-0.08162,0.0711652
31,-0.08161,0.0711652
32,-0.0816,0.0711652
33,-0.08159,0.0711652
34,-0.08158,0.0695781
35,-0.08157,0.0695781
36,-0.08156,0.0711652
37,-0.08155,0.0711652
38,-0.08154,0.0711652
39,-0.08153,0.0711652
40,-0.08152,0.0711652
41,-0.08151,0.0711652
42,-0.0815,0.0711652
43,-0.08149,0.0711652
44,-0.08148,0.0711652
45,-0.08147,0.0711652
46,-0.08146,0.0711652
47,-0.08145,0.0711652
48,-0.08144,0.0711652
49,-0.08143,0.0711652
50,-0.08142,0.0711652
51,-0.08141,0.0711652
52,-0.0814,0.0711652
53,-0.08139,0.0711652
54,-0.08138,0.0711652
55,-0.08137,0.0711652
56,-0.08136,0.0711652
57,-0.08135,0.0711652
58,-0.08134,0.0711652
59,-0.08133,0.0711652
60,-0.08132,0.0711652
61,-0.08131,0.0711652
62,-0.0813,0.0711652
63,-0.08129,0.0711652
64,-0.08128,0.0711652
65,-0.08127,0.0711652
66,-0.08126,0.0711652
67,-0.08125,0.0711652
68,-0.08124,0.0711652
69,-0.08123,0.0711652
70,-0.08122,0.0711652
71,-0.08121,0.0711652
72,-0.0812,0.0711652
73,-0.08119,0.0711652
74,-0.08118,0.0711652
75,-0.08117,0.0711652
76,-0.08116,0.0711652
77,-0.08115,0.0711652
78,-0.08114,0.0711652
79,-0.08113,0.0711652
80,-0.08112,0.0711652
81,-0.08111,0.0711652
82,-0.0811,0.0711652
83,-0.08109,0.0711652
84,-0.08108,0.0711652
85,-0.08107,0.0711652
86,-0.08106,0.0711652
87,-0.08105,0.0711652
88,-0.08104,0.0711652
89,-0.08103,0.0711652
90,-0.08102,0.0711652
91,-0.08101,0.0711652
92,-0.081,0.0711652
93,-0.08099,0.0711652
94,-0.08098,0.0711652
95,-0.08097,0.0711652
96,-0.08096,0.0711652
97,-0.08095,0.0711652
98,-0.08094,0.0711652
99,-0.08093,0.0711652
100,-0.08092,0.0711652
101,-0.08091,0.0711652
102,-0.0809,0.0711652
103,-0.08089,0.0695781
104,-0.08088,0.0695781
105,-0.08087,0.0711652
106,-0.08086,0.0711652
107,-0.08085,0.0711652
108,-0.08084,0.0711652
109,-0.08083,0.0711652
110,-0.08082,0.0711652
111,-0.08081,0.0711652
112,-0.0808,0.0711652
113,-0.08079,0.0711652
114,-0.08078,0.0711652
115,-0.08077,0.0711652
116,-0.08076,0.0711652
117,-0.08075,0.0711652
118,-0.08074,0.0711652
119,-0.08073,0.0711652
120,-0.08072,0.0711652
121,-0.08071,0.0711652
122,-0.0807,0.0711652
123,-0.08069,0.0711652
124,-0.08068,0.0711652
125,-0.08067,0.0711652
126,-0.08066,0.0711652
127,-0.08065,0.0711652
128,-0.08064,0.0711652
129,-0.08063,0.0711652
130,-0.08062,0.0711652
131,-0.08061,0.0711652
132,-0.0806,0.0711652
133,-0.08059,0.0711652
134,-0.08058,0.0711652
135,-0.08057,0.0711652
136,-0.08056,0.0711652
137,-0.08055,0.0711652
138,-0.08054,0.0711652
139,-0.08053,0.0711652
140,-0.08052,0.0711652
141,-0.08051,0.0711652
142,-0.0805,0.0711652
143,-0.08049,0.0711652
144,-0.08048,0.0711652
145,-0.08047,0.0711652
146,-0.08046,0.0711652
147,-0.08045,0.0711652
148,-0.08044,0.0711652
149,-0.08043,0.0711652
150,-0.08042,0.0711652
151,-0.08041,0.0711652
152,-0.0804,0.0711652
153,-0.08039,0.0711652
154,-0.08038,0.0711652
155,-0.08037,0.0711652
156,-0.08036,0.0711652
157,-0.08035,0.0711652
158,-0.08034,0.0711652
159,-0.08033,0.0711652
160,-0.08032,0.0711652
161,-0.08031,0.0711652
162,-0.0803,0.0711652
163,-0.08029,0.0711652
164,-0.08028,0.0711652
165,-0.08027,0.0711652
166,-0.08026,0.0711652
167,-0.08025,0.0711652
168,-0.08024,0.0711652
169,-0.08023,0.0711652
170,-0.08022,0.0711652
171,-0.08021,0.0711652
172,-0.0802,0.0711652
173,-0.08019,0.0711652
174,-0.08018,0.0711652
175,-0.08017,0.0711652
176,-0.08016,0.0711652
177,-0.08015,0.0711652
178,-0.08014,0.0711652
179,-0.08013,0.0711652
180,-0.08012,0.0711652
181,-0.08011,0.0711652
182,-0.0801,0.0711652
183,-0.08009,0.0711652
184,-0.08008,0.0711652
185,-0.08007,0.0711652
186,-0.08006,0.0711652
187,-0.08005,0.0711652
188,-0.08004,0.0711652
189,-0.08003,0.0711652
190,-0.08002,0.0711652
191,-0.08001,0.0711652
192,-0.08,0.0711652
193,-0.07999,0.0711652
194,-0.07998,0.0711652
195,-0.07997,0.0711652
196,-0.07996,0.0711652
197,-0.07995,0.0711652
198,-0.07994,0.0711652
199,-0.07993,0.0711652
200,-0.07992,0.0711652
201,-0.07991,0.0711652
202,-0.0799,0.0711652
203,-0.07989,0.0711652
204,-0.07988,0.0711652
205,-0.07987,0.0711652
206,-0.07986,0.0711652
207,-0.07985,0.0711652
208,-0.07984,0.0711652
209,-0.07983,0.0711652
210,-0.07982,0.0711652
211,-0.07981,0.0711652
212,-0.0798,0.0711652
213,-0.07979,0.0711652
214,-0.07978,0.0711652
215,-0.07977,0.0711652
216,-0.07976,0.0711652
217,-0.07975,0.0711652
218,-0.07974,0.0711652
219,-0.07973,0.0711652
220,-0.07972,0.0711652
221,-0.07971,0.0711652
222,-0.0797,0.0711652
223,-0.07969,0.0711652
224,-0.07968,0.0711652
225,-0.07967,0.0711652
226,-0.07966,0.0711652
227,-0.07965,0.0711652
228,-0.07964,0.0711652
229,-0.07963,0.0711652
230,-0.07962,0.0711652
231,-0.07961,0.0711652
232,-0.0796,0.0711652
233,-0.07959,0.0711652
234,-0.07958,0.0711652
235,-0.07957,0.0711652
236,-0.07956,0.0711652
237,-0.07955,0.0711652
238,-0.07954,0.0711652
239,-0.07953,0.0711652
240,-0.07952,0.0711652
241,-0.07951,0.0711652
242,-0.0795,0.0711652
243,-0.07949,0.0711652
244,-0.07948,0.0711652
245,-0.07947,0.0711652
246,-0.07946,0.0711652
247,-0.07945,0.0711652
248,-0.07944,0.0711652
249,-0.07943,0.0711652
