;Scopy version,438f138
;Exported on,mercredi avril 30/04/2025
;Device,M2K
;Nr of samples,160000
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.08192,0.0463323
1,-0.08191,0.0463323
2,-0.0819,0.0463323
3,-0.08189,0.0463323
4,-0.08188,0.0463323
5,-0.08187,0.0463323
6,-0.08186,0.0463323
7,-0.08185,0.0463323
8,-0.08184,0.0463323
9,-0.08183,0.0463323
10,-0.08182,0.0463323
11,-0.08181,0.0463323
12,-0.0818,0.0463323
13,-0.08179,0.0463323
14,-0.08178,0.0463323
15,-0.08177,0.0463323
16,-0.08176,0.0463323
17,-0.08175,0.0463323
18,-0.08174,0.0463323
19,-0.08173,0.0463323
20,-0.08172,0.0463323
21,-0.08171,0.0463323
22,-0.0817,0.0463323
23,-0.08169,0.0463323
24,-0.08168,0.0463323
25,-0.08167,0.0463323
26,-0.08166,0.0463323
27,-0.08165,0.0463323
28,-0.08164,0.0463323
29,-0.08163,0.0463323
30,-0.08162,0.0463323
31,-0.08161,0.0463323
32,-0.0816,0.0463323
33,-0.08159,0.0463323
34,-0.08158,0.0463323
35,-0.08157,0.0463323
36,-0.08156,0.0463323
37,-0.08155,0.0463323
38,-0.08154,0.0463323
39,-0.08153,0.0463323
40,-0.08152,0.0463323
41,-0.08151,0.0463323
42,-0.0815,0.0463323
43,-0.08149,0.0463323
44,-0.08148,0.0463323
45,-0.08147,0.0463323
46,-0.08146,0.0463323
47,-0.08145,0.0463323
48,-0.08144,0.0463323
49,-0.08143,0.0463323
50,-0.08142,0.0463323
51,-0.08141,0.0463323
52,-0.0814,0.0463323
53,-0.08139,0.0463323
54,-0.08138,0.0463323
55,-0.08137,0.0463323
56,-0.08136,0.0463323
57,-0.08135,0.0463323
58,-0.08134,0.0463323
59,-0.08133,0.0463323
60,-0.08132,0.0463323
61,-0.08131,0.0463323
62,-0.0813,0.0463323
63,-0.08129,0.0463323
64,-0.08128,0.0463323
65,-0.08127,0.0463323
66,-0.08126,0.0463323
67,-0.08125,0.0463323
68,-0.08124,0.0463323
69,-0.08123,0.0463323
70,-0.08122,0.0463323
71,-0.08121,0.0463323
72,-0.0812,0.0463323
73,-0.08119,0.0463323
74,-0.08118,0.0463323
75,-0.08117,0.0463323
76,-0.08116,0.0463323
77,-0.08115,0.0463323
78,-0.08114,0.0463323
79,-0.08113,0.0463323
80,-0.08112,0.0463323
81,-0.08111,0.0463323
82,-0.0811,0.0463323
83,-0.08109,0.0463323
84,-0.08108,0.0463323
85,-0.08107,0.0463323
86,-0.08106,0.0463323
87,-0.08105,0.0463323
88,-0.08104,0.0463323
89,-0.08103,0.0463323
90,-0.08102,0.0463323
91,-0.08101,0.0463323
92,-0.081,0.0463323
93,-0.08099,0.0463323
94,-0.08098,0.0463323
95,-0.08097,0.0463323
96,-0.08096,0.0463323
97,-0.08095,0.0463323
98,-0.08094,0.0463323
99,-0.08093,0.0463323
100,-0.08092,0.0463323
101,-0.08091,0.0463323
102,-0.0809,0.0463323
103,-0.08089,0.0463323
104,-0.08088,0.0463323
105,-0.08087,0.0463323
106,-0.08086,0.0463323
107,-0.08085,0.0463323
108,-0.08084,0.0463323
109,-0.08083,0.0463323
110,-0.08082,0.0463323
111,-0.08081,0.0463323
112,-0.0808,0.0463323
113,-0.08079,0.0463323
114,-0.08078,0.0463323
115,-0.08077,0.0463323
116,-0.08076,0.0463323
117,-0.08075,0.0463323
118,-0.08074,0.0463323
119,-0.08073,0.0463323
120,-0.08072,0.0463323
121,-0.08071,0.0463323
122,-0.0807,0.0463323
123,-0.08069,0.0463323
124,-0.08068,0.0463323
125,-0.08067,0.0463323
126,-0.08066,0.0463323
127,-0.08065,0.0463323
128,-0.08064,0.0463323
129,-0.08063,0.0463323
130,-0.08062,0.0463323
131,-0.08061,0.0463323
132,-0.0806,0.0463323
133,-0.08059,0.0463323
134,-0.08058,0.0463323
135,-0.08057,0.0463323
136,-0.08056,0.0463323
137,-0.08055,0.0463323
138,-0.08054,0.0463323
139,-0.08053,0.0463323
140,-0.08052,0.0463323
141,-0.08051,0.0463323
142,-0.0805,0.0463323
143,-0.08049,0.0463323
144,-0.08048,0.0463323
145,-0.08047,0.0463323
146,-0.08046,0.0463323
147,-0.08045,0.0463323
148,-0.08044,0.0463323
149,-0.08043,0.0463323
150,-0.08042,0.0463323
151,-0.08041,0.0463323
152,-0.0804,0.0463323
153,-0.08039,0.0463323
154,-0.08038,0.0463323
155,-0.08037,0.0463323
156,-0.08036,0.0463323
157,-0.08035,0.0463323
158,-0.08034,0.0463323
159,-0.08033,0.0463323
160,-0.08032,0.0463323
161,-0.08031,0.0463323
162,-0.0803,0.0463323
163,-0.08029,0.0463323
164,-0.08028,0.0463323
165,-0.08027,0.0463323
166,-0.08026,0.0463323
167,-0.08025,0.0463323
168,-0.08024,0.0463323
169,-0.08023,0.0463323
170,-0.08022,0.0463323
171,-0.08021,0.0463323
172,-0.0802,0.0463323
173,-0.08019,0.0463323
174,-0.08018,0.0463323
175,-0.08017,0.0463323
176,-0.08016,0.0463323
177,-0.08015,0.0463323
178,-0.08014,0.0463323
179,-0.08013,0.0463323
180,-0.08012,0.0463323
181,-0.08011,0.0463323
182,-0.0801,0.0463323
183,-0.08009,0.0463323
184,-0.08008,0.0463323
185,-0.08007,0.0463323
186,-0.08006,0.0463323
187,-0.08005,0.0463323
188,-0.08004,0.0463323
189,-0.08003,0.0463323
190,-0.08002,0.0463323
191,-0.08001,0.0463323
192,-0.08,0.0463323
