;Scopy version,438f138
;Exported on,mardi avril 29/04/2025
;Device,M2K
;Nr of samples,160000
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.08192,0.0344596
1,-0.08191,0.0360466
2,-0.0819,0.0328726
3,-0.08189,0.0344596
4,-0.08188,0.0344596
5,-0.08187,0.0344596
6,-0.08186,0.0344596
7,-0.08185,0.0344596
8,-0.08184,0.0344596
9,-0.08183,0.0344596
10,-0.08182,0.0360466
11,-0.08181,0.0344596
12,-0.0818,0.0344596
13,-0.08179,0.0344596
14,-0.08178,0.0344596
15,-0.08177,0.0344596
16,-0.08176,0.0344596
17,-0.08175,0.0344596
18,-0.08174,0.0344596
19,-0.08173,0.0344596
20,-0.08172,0.0344596
21,-0.08171,0.0344596
22,-0.0817,0.0344596
23,-0.08169,0.0344596
24,-0.08168,0.0344596
25,-0.08167,0.0344596
26,-0.08166,0.0344596
27,-0.08165,0.0344596
28,-0.08164,0.0344596
29,-0.08163,0.0344596
30,-0.08162,0.0344596
31,-0.08161,0.0344596
32,-0.0816,0.0344596
33,-0.08159,0.0344596
34,-0.08158,0.0344596
35,-0.08157,0.0344596
36,-0.08156,0.0344596
37,-0.08155,0.0344596
38,-0.08154,0.0344596
39,-0.08153,0.0344596
40,-0.08152,0.0344596
41,-0.08151,0.0344596
42,-0.0815,0.0344596
43,-0.08149,0.0344596
44,-0.08148,0.0344596
45,-0.08147,0.0344596
46,-0.08146,0.0344596
47,-0.08145,0.0344596
48,-0.08144,0.0344596
49,-0.08143,0.0344596
50,-0.08142,0.0344596
51,-0.08141,0.0344596
52,-0.0814,0.0344596
53,-0.08139,0.0344596
54,-0.08138,0.0344596
55,-0.08137,0.0344596
56,-0.08136,0.0344596
57,-0.08135,0.0344596
58,-0.08134,0.0344596
59,-0.08133,0.0344596
60,-0.08132,0.0344596
61,-0.08131,0.0344596
62,-0.0813,0.0344596
63,-0.08129,0.0344596
64,-0.08128,0.0344596
65,-0.08127,0.0344596
66,-0.08126,0.0344596
67,-0.08125,0.0344596
68,-0.08124,0.0344596
69,-0.08123,0.0344596
70,-0.08122,0.0344596
71,-0.08121,0.0344596
72,-0.0812,0.0344596
73,-0.08119,0.0344596
74,-0.08118,0.0344596
75,-0.08117,0.0344596
76,-0.08116,0.0344596
77,-0.08115,0.0344596
78,-0.08114,0.0344596
79,-0.08113,0.0344596
80,-0.08112,0.0344596
81,-0.08111,0.0344596
82,-0.0811,0.0344596
83,-0.08109,0.0344596
84,-0.08108,0.0344596
85,-0.08107,0.0344596
86,-0.08106,0.0344596
87,-0.08105,0.0344596
88,-0.08104,0.0344596
89,-0.08103,0.0344596
90,-0.08102,0.0344596
91,-0.08101,0.0344596
92,-0.081,0.0344596
93,-0.08099,0.0344596
94,-0.08098,0.0344596
95,-0.08097,0.0344596
96,-0.08096,0.0344596
97,-0.08095,0.0344596
98,-0.08094,0.0344596
99,-0.08093,0.0344596
100,-0.08092,0.0344596
101,-0.08091,0.0344596
102,-0.0809,0.0344596
103,-0.08089,0.0344596
104,-0.08088,0.0344596
105,-0.08087,0.0344596
106,-0.08086,0.0344596
107,-0.08085,0.0344596
108,-0.08084,0.0344596
109,-0.08083,0.0344596
110,-0.08082,0.0344596
111,-0.08081,0.0344596
112,-0.0808,0.0344596
113,-0.08079,0.0344596
114,-0.08078,0.0344596
115,-0.08077,0.0344596
116,-0.08076,0.0344596
117,-0.08075,0.0344596
118,-0.08074,0.0344596
119,-0.08073,0.0344596
120,-0.08072,0.0344596
121,-0.08071,0.0344596
122,-0.0807,0.0344596
123,-0.08069,0.0344596
124,-0.08068,0.0344596
125,-0.08067,0.0344596
126,-0.08066,0.0344596
127,-0.08065,0.0344596
128,-0.08064,0.0344596
129,-0.08063,0.0344596
130,-0.08062,0.0344596
131,-0.08061,0.0344596
132,-0.0806,0.0344596
133,-0.08059,0.0344596
134,-0.08058,0.0344596
135,-0.08057,0.0344596
136,-0.08056,0.0344596
137,-0.08055,0.0344596
138,-0.08054,0.0344596
139,-0.08053,0.0344596
140,-0.08052,0.0344596
141,-0.08051,0.0344596
142,-0.0805,0.0344596
143,-0.08049,0.0344596
144,-0.08048,0.0344596
145,-0.08047,0.0344596
146,-0.08046,0.0344596
147,-0.08045,0.0344596
148,-0.08044,0.0344596
149,-0.08043,0.0344596
150,-0.08042,0.0344596
151,-0.08041,0.0344596
152,-0.0804,0.0344596
153,-0.08039,0.0344596
154,-0.08038,0.0344596
155,-0.08037,0.0344596
156,-0.08036,0.0344596
157,-0.08035,0.0344596
158,-0.08034,0.0344596
159,-0.08033,0.0344596
160,-0.08032,0.0344596
161,-0.08031,0.0344596
162,-0.0803,0.0344596
163,-0.08029,0.0344596
164,-0.08028,0.0344596
165,-0.08027,0.0344596
166,-0.08026,0.0344596
167,-0.08025,0.0344596
168,-0.08024,0.0344596
169,-0.08023,0.0344596
170,-0.08022,0.0344596
171,-0.08021,0.0344596
172,-0.0802,0.0344596
173,-0.08019,0.0344596
174,-0.08018,0.0344596
175,-0.08017,0.0344596
176,-0.08016,0.0344596
177,-0.08015,0.0344596
178,-0.08014,0.0344596
179,-0.08013,0.0344596
180,-0.08012,0.0344596
181,-0.08011,0.0344596
182,-0.0801,0.0344596
183,-0.08009,0.0344596
184,-0.08008,0.0344596
185,-0.08007,0.0344596
186,-0.08006,0.0344596
187,-0.08005,0.0344596
188,-0.08004,0.0344596
189,-0.08003,0.0344596
190,-0.08002,0.0344596
191,-0.08001,0.0344596
192,-0.08,0.0344596
193,-0.07999,0.0344596
194,-0.07998,0.0344596
195,-0.07997,0.0344596
196,-0.07996,0.0344596
197,-0.07995,0.0344596
198,-0.07994,0.0344596
199,-0.07993,0.0344596
200,-0.07992,0.0344596
201,-0.07991,0.0344596
202,-0.0799,0.0344596
203,-0.07989,0.0344596
204,-0.07988,0.0344596
205,-0.07987,0.0344596
206,-0.07986,0.0344596
207,-0.07985,0.0344596
208,-0.07984,0.0344596
209,-0.07983,0.0344596
210,-0.07982,0.0344596
211,-0.07981,0.0344596
212,-0.0798,0.0360466
213,-0.07979,0.0328726
214,-0.07978,0.0344596
215,-0.07977,0.0328726
216,-0.07976,0.0344596
217,-0.07975,0.0344596
218,-0.07974,0.0344596
219,-0.07973,0.0344596
220,-0.07972,0.0344596
221,-0.07971,0.0344596
222,-0.0797,0.0344596
223,-0.07969,0.0344596
224,-0.07968,0.0344596
225,-0.07967,0.0344596
226,-0.07966,0.0344596
227,-0.07965,0.0344596
228,-0.07964,0.0360466
229,-0.07963,0.0328726
230,-0.07962,0.0328726
231,-0.07961,0.0360466
232,-0.0796,0.0344596
233,-0.07959,0.0328726
234,-0.07958,0.0360466
235,-0.07957,0.0328726
236,-0.07956,0.0360466
237,-0.07955,0.0344596
238,-0.07954,0.0344596
239,-0.07953,0.0344596
240,-0.07952,0.0344596
241,-0.07951,0.0344596
242,-0.0795,0.0344596
243,-0.07949,0.0344596
244,-0.07948,0.0344596
245,-0.07947,0.0344596
246,-0.07946,0.0344596
247,-0.07945,0.0344596
248,-0.07944,0.0344596
249,-0.07943,0.0344596
250,-0.07942,0.0344596
251,-0.07941,0.0344596
252,-0.0794,0.0344596
253,-0.07939,0.0344596
254,-0.07938,0.0344596
255,-0.07937,0.0344596
256,-0.07936,0.0344596
257,-0.07935,0.0344596
258,-0.07934,0.0344596
259,-0.07933,0.0344596
260,-0.07932,0.0344596
261,-0.07931,0.0344596
262,-0.0793,0.0344596
263,-0.07929,0.0344596
264,-0.07928,0.0344596
265,-0.07927,0.0344596
266,-0.07926,0.0344596
267,-0.07925,0.0344596
268,-0.07924,0.0344596
269,-0.07923,0.0344596
270,-0.07922,0.0344596
271,-0.07921,0.0344596
272,-0.0792,0.0344596
273,-0.07919,0.0344596
274,-0.07918,0.0344596
275,-0.07917,0.0344596
276,-0.07916,0.0360466
277,-0.07915,0.0360466
278,-0.07914,0.0328726
279,-0.07913,0.0360466
280,-0.07912,0.0344596
281,-0.07911,0.0328726
282,-0.0791,0.0344596
283,-0.07909,0.0344596
284,-0.07908,0.0344596
285,-0.07907,0.0328726
286,-0.07906,0.0328726
287,-0.07905,0.0328726
288,-0.07904,0.0360466
289,-0.07903,0.0344596
290,-0.07902,0.0344596
291,-0.07901,0.0344596
292,-0.079,0.0328726
293,-0.07899,0.0344596
294,-0.07898,0.0344596
295,-0.07897,0.0344596
296,-0.07896,0.0344596
297,-0.07895,0.0344596
298,-0.07894,0.0344596
299,-0.07893,0.0344596
300,-0.07892,0.0328726
301,-0.07891,0.0360466
