;Scopy version,438f138
;Exported on,mardi avril 29/04/2025
;Device,M2K
;Nr of samples,160000
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.08192,0.219846
1,-0.08191,0.219846
2,-0.0819,0.219846
3,-0.08189,0.219846
4,-0.08188,0.219846
5,-0.08187,0.219846
6,-0.08186,0.219846
7,-0.08185,0.219846
8,-0.08184,0.219846
9,-0.08183,0.219846
10,-0.08182,0.219846
11,-0.08181,0.219846
12,-0.0818,0.219846
13,-0.08179,0.219846
14,-0.08178,0.219846
15,-0.08177,0.219846
16,-0.08176,0.219846
17,-0.08175,0.219846
18,-0.08174,0.219846
19,-0.08173,0.219846
20,-0.08172,0.219846
21,-0.08171,0.219846
22,-0.0817,0.219846
23,-0.08169,0.219846
24,-0.08168,0.219846
25,-0.08167,0.219846
26,-0.08166,0.219846
27,-0.08165,0.219846
28,-0.08164,0.219846
29,-0.08163,0.219846
30,-0.08162,0.219846
31,-0.08161,0.219846
32,-0.0816,0.219846
33,-0.08159,0.219846
34,-0.08158,0.219846
35,-0.08157,0.219846
36,-0.08156,0.219846
37,-0.08155,0.219846
38,-0.08154,0.219846
39,-0.08153,0.219846
40,-0.08152,0.219846
41,-0.08151,0.219846
42,-0.0815,0.219846
43,-0.08149,0.219846
44,-0.08148,0.219846
45,-0.08147,0.219846
46,-0.08146,0.219846
47,-0.08145,0.219846
48,-0.08144,0.219846
49,-0.08143,0.219846
50,-0.08142,0.219846
51,-0.08141,0.219846
52,-0.0814,0.219846
53,-0.08139,0.219846
54,-0.08138,0.219846
55,-0.08137,0.219846
56,-0.08136,0.219846
57,-0.08135,0.219846
58,-0.08134,0.219846
59,-0.08133,0.219846
60,-0.08132,0.219846
61,-0.08131,0.219846
62,-0.0813,0.219846
63,-0.08129,0.219846
64,-0.08128,0.219846
65,-0.08127,0.219846
66,-0.08126,0.219846
67,-0.08125,0.219846
68,-0.08124,0.219846
69,-0.08123,0.219846
70,-0.08122,0.219846
71,-0.08121,0.219846
72,-0.0812,0.219846
73,-0.08119,0.219846
74,-0.08118,0.219846
75,-0.08117,0.219846
76,-0.08116,0.219846
