;Scopy version,438f138
;Exported on,mardi avril 29/04/2025
;Device,M2K
;Nr of samples,160000
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.08192,0.00906686
1,-0.08191,0.00906686
2,-0.0819,0.00906686
3,-0.08189,0.00906686
4,-0.08188,0.00906686
5,-0.08187,0.00906686
6,-0.08186,0.00906686
7,-0.08185,0.00906686
8,-0.08184,0.00906686
9,-0.08183,0.00906686
10,-0.08182,0.00906686
11,-0.08181,0.00906686
12,-0.0818,0.00906686
13,-0.08179,0.00906686
14,-0.08178,0.00906686
15,-0.08177,0.00906686
16,-0.08176,0.00906686
17,-0.08175,0.00906686
18,-0.08174,0.00906686
19,-0.08173,0.00906686
20,-0.08172,0.00906686
21,-0.08171,0.00906686
22,-0.0817,0.00906686
23,-0.08169,0.00906686
24,-0.08168,0.00906686
25,-0.08167,0.00906686
26,-0.08166,0.00906686
27,-0.08165,0.00906686
28,-0.08164,0.00906686
29,-0.08163,0.00906686
30,-0.08162,0.00906686
31,-0.08161,0.00906686
32,-0.0816,0.00906686
33,-0.08159,0.00906686
34,-0.08158,0.00906686
35,-0.08157,0.00906686
36,-0.08156,0.00906686
37,-0.08155,0.00906686
38,-0.08154,0.00906686
39,-0.08153,0.00906686
40,-0.08152,0.00906686
41,-0.08151,0.00906686
42,-0.0815,0.00906686
43,-0.08149,0.00906686
44,-0.08148,0.00906686
45,-0.08147,0.00906686
46,-0.08146,0.00906686
47,-0.08145,0.00906686
48,-0.08144,0.00906686
49,-0.08143,0.00906686
50,-0.08142,0.00906686
51,-0.08141,0.00906686
52,-0.0814,0.00906686
53,-0.08139,0.00906686
54,-0.08138,0.00906686
55,-0.08137,0.00906686
56,-0.08136,0.00906686
57,-0.08135,0.00906686
58,-0.08134,0.00906686
59,-0.08133,0.00906686
60,-0.08132,0.00906686
61,-0.08131,0.00906686
62,-0.0813,0.00906686
63,-0.08129,0.00906686
64,-0.08128,0.00906686
65,-0.08127,0.00906686
66,-0.08126,0.00906686
67,-0.08125,0.00906686
68,-0.08124,0.00906686
69,-0.08123,0.00906686
70,-0.08122,0.00906686
71,-0.08121,0.00906686
72,-0.0812,0.00906686
73,-0.08119,0.00906686
74,-0.08118,0.00906686
75,-0.08117,0.00906686
76,-0.08116,0.00906686
77,-0.08115,0.00906686
78,-0.08114,0.00906686
79,-0.08113,0.00906686
80,-0.08112,0.00906686
81,-0.08111,0.00906686
82,-0.0811,0.00906686
83,-0.08109,0.00906686
84,-0.08108,0.00906686
85,-0.08107,0.00906686
86,-0.08106,0.00906686
87,-0.08105,0.00906686
88,-0.08104,0.00906686
89,-0.08103,0.00906686
90,-0.08102,0.00906686
91,-0.08101,0.00906686
92,-0.081,0.00906686
93,-0.08099,0.00906686
94,-0.08098,0.00906686
95,-0.08097,0.00906686
96,-0.08096,0.00906686
97,-0.08095,0.00906686
98,-0.08094,0.00906686
99,-0.08093,0.00906686
100,-0.08092,0.00906686
101,-0.08091,0.00906686
102,-0.0809,0.00906686
103,-0.08089,0.00906686
104,-0.08088,0.00906686
105,-0.08087,0.00906686
106,-0.08086,0.00906686
107,-0.08085,0.00906686
108,-0.08084,0.00906686
109,-0.08083,0.00906686
110,-0.08082,0.00906686
111,-0.08081,0.00906686
112,-0.0808,0.00906686
113,-0.08079,0.00906686
114,-0.08078,0.00906686
115,-0.08077,0.00906686
116,-0.08076,0.00906686
117,-0.08075,0.00906686
118,-0.08074,0.00906686
119,-0.08073,0.00906686
120,-0.08072,0.00906686
121,-0.08071,0.00906686
122,-0.0807,0.00906686
123,-0.08069,0.00906686
124,-0.08068,0.00906686
125,-0.08067,0.00906686
126,-0.08066,0.00906686
127,-0.08065,0.00906686
128,-0.08064,0.00906686
129,-0.08063,0.00906686
130,-0.08062,0.00906686
131,-0.08061,0.00906686
132,-0.0806,0.00906686
133,-0.08059,0.00906686
134,-0.08058,0.00906686
135,-0.08057,0.00906686
136,-0.08056,0.00906686
137,-0.08055,0.00906686
138,-0.08054,0.00906686
139,-0.08053,0.00906686
140,-0.08052,0.00906686
141,-0.08051,0.00906686
142,-0.0805,0.00906686
143,-0.08049,0.00906686
144,-0.08048,0.00906686
145,-0.08047,0.00906686
146,-0.08046,0.00906686
147,-0.08045,0.00906686
148,-0.08044,0.00906686
149,-0.08043,0.00906686
150,-0.08042,0.00906686
151,-0.08041,0.00906686
152,-0.0804,0.00906686
153,-0.08039,0.00906686
154,-0.08038,0.00906686
155,-0.08037,0.00906686
156,-0.08036,0.00906686
157,-0.08035,0.00906686
158,-0.08034,0.00906686
159,-0.08033,0.00906686
160,-0.08032,0.00906686
161,-0.08031,0.00906686
162,-0.0803,0.00906686
163,-0.08029,0.00906686
164,-0.08028,0.00906686
165,-0.08027,0.00906686
166,-0.08026,0.00906686
167,-0.08025,0.00906686
168,-0.08024,0.00906686
169,-0.08023,0.00906686
170,-0.08022,0.00906686
171,-0.08021,0.00906686
172,-0.0802,0.00906686
173,-0.08019,0.00906686
174,-0.08018,0.00906686
175,-0.08017,0.00906686
176,-0.08016,0.00906686
177,-0.08015,0.00906686
178,-0.08014,0.00906686
179,-0.08013,0.00906686
180,-0.08012,0.00906686
181,-0.08011,0.00906686
182,-0.0801,0.00906686
183,-0.08009,0.00906686
184,-0.08008,0.00906686
185,-0.08007,0.00906686
186,-0.08006,0.00906686
187,-0.08005,0.00906686
188,-0.08004,0.00906686
189,-0.08003,0.00906686
190,-0.08002,0.00906686
191,-0.08001,0.00906686
192,-0.08,0.00906686
193,-0.07999,0.00906686
194,-0.07998,0.00906686
195,-0.07997,0.00906686
196,-0.07996,0.00906686
197,-0.07995,0.00906686
198,-0.07994,0.00906686
199,-0.07993,0.00906686
200,-0.07992,0.00906686
201,-0.07991,0.00906686
202,-0.0799,0.00906686
203,-0.07989,0.00906686
204,-0.07988,0.00906686
205,-0.07987,0.00906686
206,-0.07986,0.00906686
207,-0.07985,0.00906686
208,-0.07984,0.00906686
209,-0.07983,0.00906686
210,-0.07982,0.00906686
211,-0.07981,0.00906686
212,-0.0798,0.00906686
213,-0.07979,0.00906686
214,-0.07978,0.00906686
215,-0.07977,0.00906686
216,-0.07976,0.00906686
217,-0.07975,0.00906686
218,-0.07974,0.00906686
219,-0.07973,0.00906686
220,-0.07972,0.00906686
221,-0.07971,0.00906686
222,-0.0797,0.00906686
223,-0.07969,0.00906686
224,-0.07968,0.00906686
225,-0.07967,0.00906686
226,-0.07966,0.00906686
227,-0.07965,0.00906686
228,-0.07964,0.00906686
229,-0.07963,0.00906686
230,-0.07962,0.00906686
231,-0.07961,0.00906686
232,-0.0796,0.00906686
233,-0.07959,0.00906686
234,-0.07958,0.00906686
235,-0.07957,0.00906686
236,-0.07956,0.00906686
237,-0.07955,0.00906686
238,-0.07954,0.00906686
