;Scopy version,438f138
;Exported on,mardi avril 29/04/2025
;Device,M2K
;Nr of samples,160000
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.08192,0.013828
1,-0.08191,0.013828
2,-0.0819,0.013828
3,-0.08189,0.013828
4,-0.08188,0.013828
5,-0.08187,0.013828
6,-0.08186,0.013828
7,-0.08185,0.013828
8,-0.08184,0.013828
9,-0.08183,0.013828
10,-0.08182,0.013828
11,-0.08181,0.013828
12,-0.0818,0.013828
13,-0.08179,0.013828
14,-0.08178,0.013828
15,-0.08177,0.013828
16,-0.08176,0.013828
17,-0.08175,0.013828
18,-0.08174,0.013828
19,-0.08173,0.013828
20,-0.08172,0.013828
21,-0.08171,0.013828
22,-0.0817,0.013828
23,-0.08169,0.013828
24,-0.08168,0.013828
25,-0.08167,0.013828
26,-0.08166,0.013828
27,-0.08165,0.013828
28,-0.08164,0.013828
29,-0.08163,0.015415
30,-0.08162,0.013828
31,-0.08161,0.013828
32,-0.0816,0.013828
33,-0.08159,0.013828
34,-0.08158,0.013828
35,-0.08157,0.013828
36,-0.08156,0.013828
37,-0.08155,0.012241
38,-0.08154,0.015415
39,-0.08153,0.012241
40,-0.08152,0.012241
41,-0.08151,0.012241
42,-0.0815,0.012241
43,-0.08149,0.012241
44,-0.08148,0.012241
45,-0.08147,0.012241
46,-0.08146,0.012241
47,-0.08145,0.012241
48,-0.08144,0.012241
49,-0.08143,0.012241
50,-0.08142,0.012241
51,-0.08141,0.012241
52,-0.0814,0.012241
53,-0.08139,0.012241
54,-0.08138,0.012241
55,-0.08137,0.012241
56,-0.08136,0.012241
57,-0.08135,0.012241
58,-0.08134,0.012241
59,-0.08133,0.012241
60,-0.08132,0.012241
61,-0.08131,0.012241
62,-0.0813,0.012241
63,-0.08129,0.012241
64,-0.08128,0.012241
65,-0.08127,0.012241
66,-0.08126,0.012241
67,-0.08125,0.012241
68,-0.08124,0.012241
69,-0.08123,0.012241
70,-0.08122,0.012241
71,-0.08121,0.013828
72,-0.0812,0.013828
73,-0.08119,0.015415
74,-0.08118,0.012241
75,-0.08117,0.012241
76,-0.08116,0.012241
77,-0.08115,0.015415
78,-0.08114,0.013828
79,-0.08113,0.013828
80,-0.08112,0.013828
81,-0.08111,0.013828
82,-0.0811,0.015415
83,-0.08109,0.013828
84,-0.08108,0.015415
85,-0.08107,0.012241
86,-0.08106,0.013828
87,-0.08105,0.015415
88,-0.08104,0.015415
89,-0.08103,0.012241
90,-0.08102,0.012241
91,-0.08101,0.012241
92,-0.081,0.012241
93,-0.08099,0.012241
94,-0.08098,0.012241
95,-0.08097,0.012241
96,-0.08096,0.012241
97,-0.08095,0.012241
98,-0.08094,0.012241
99,-0.08093,0.012241
100,-0.08092,0.012241
101,-0.08091,0.012241
102,-0.0809,0.012241
103,-0.08089,0.012241
104,-0.08088,0.012241
105,-0.08087,0.012241
106,-0.08086,0.012241
107,-0.08085,0.012241
108,-0.08084,0.012241
109,-0.08083,0.012241
110,-0.08082,0.012241
111,-0.08081,0.012241
112,-0.0808,0.012241
113,-0.08079,0.012241
114,-0.08078,0.012241
115,-0.08077,0.012241
116,-0.08076,0.012241
117,-0.08075,0.012241
118,-0.08074,0.012241
119,-0.08073,0.012241
120,-0.08072,0.012241
121,-0.08071,0.012241
122,-0.0807,0.012241
123,-0.08069,0.012241
124,-0.08068,0.012241
125,-0.08067,0.012241
126,-0.08066,0.012241
127,-0.08065,0.012241
128,-0.08064,0.012241
129,-0.08063,0.012241
130,-0.08062,0.012241
131,-0.08061,0.012241
132,-0.0806,0.012241
