;Scopy version,438f138
;Exported on,samedi décembre 14/12/2024
;Device,M2K
;Nr of samples,1600
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,0,0.453051
1,0.001,0.453051
2,0.002,0.453051
3,0.003,0.453051
4,0.004,0.453051
5,0.005,0.453051
6,0.006,0.453051
7,0.007,0.453051
8,0.008,0.453051
9,0.009,0.453051
10,0.01,0.453051
11,0.011,0.453051
12,0.012,0.453051
13,0.013,0.453051
14,0.014,0.453051
15,0.015,0.453051
16,0.016,0.453051
17,0.017,0.453051
18,0.018,0.453051
19,0.019,0.453051
20,0.02,0.453051
21,0.021,0.453051
22,0.022,0.453051
23,0.023,0.453051
24,0.024,0.453051
25,0.025,0.453051
26,0.026,0.453051
27,0.027,0.453051
28,0.028,0.453051
29,0.029,0.453051
30,0.03,0.453051
31,0.031,0.453051
32,0.032,0.453051
33,0.033,0.453051
34,0.034,0.453051
35,0.035,0.453051
36,0.036,0.453051
37,0.037,0.453051
38,0.038,0.453051
39,0.039,0.453051
40,0.04,0.453051
41,0.041,0.453051
42,0.042,0.453051
43,0.043,0.453051
44,0.044,0.453051
45,0.045,0.453051
46,0.046,0.453051
47,0.047,0.453051
48,0.048,0.453051
49,0.049,0.453051
50,0.05,0.453051
51,0.051,0.453051
52,0.052,0.453051
53,0.053,0.453051
54,0.054,0.453051
55,0.055,0.453051
56,0.056,0.453051
57,0.057,0.453051
58,0.058,0.453051
59,0.059,0.453051
60,0.06,0.453051
61,0.061,0.453051
62,0.062,0.453051
63,0.063,0.453051
64,0.064,0.453051
65,0.065,0.453051
66,0.066,0.453051
67,0.067,0.453051
68,0.068,0.453051
69,0.069,0.453051
70,0.07,0.453051
71,0.071,0.453051
72,0.072,0.453051
73,0.073,0.453051
74,0.074,0.453051
75,0.075,0.453051
76,0.076,0.453051
77,0.077,0.453051
78,0.078,0.453051
79,0.079,0.453051
80,0.08,0.453051
81,0.081,0.453051
82,0.082,0.453051
83,0.083,0.453051
84,0.084,0.453051
85,0.085,0.453051
86,0.086,0.453051
87,0.087,0.453051
88,0.088,0.453051
89,0.089,0.453051
90,0.09,0.453051
91,0.091,0.453051
92,0.092,0.453051
93,0.093,0.453051
94,0.094,0.453051
95,0.095,0.453051
96,0.096,0.453051
97,0.097,0.453051
98,0.098,0.453051
99,0.099,0.453051
100,0.1,0.453051
101,0.101,0.453051
102,0.102,0.453051
103,0.103,0.453051
104,0.104,0.453051
105,0.105,0.453051
106,0.106,0.453051
107,0.107,0.453051
108,0.108,0.453051
109,0.109,0.453051
110,0.11,0.453051
111,0.111,0.453051
112,0.112,0.453051
113,0.113,0.453051
114,0.114,0.453051
115,0.115,0.453051
116,0.116,0.453051
117,0.117,0.453051
118,0.118,0.453051
