;Scopy version,438f138
;Exported on,samedi décembre 14/12/2024
;Device,M2K
;Nr of samples,8000
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.04,0.315887
1,-0.03999,0.315887
2,-0.03998,0.315887
3,-0.03997,0.315887
4,-0.03996,0.315887
5,-0.03995,0.315887
6,-0.03994,0.315887
7,-0.03993,0.315887
8,-0.03992,0.315887
9,-0.03991,0.315887
10,-0.0399,0.315887
11,-0.03989,0.315887
12,-0.03988,0.315887
13,-0.03987,0.315887
14,-0.03986,0.315887
15,-0.03985,0.315887
16,-0.03984,0.315887
17,-0.03983,0.315887
18,-0.03982,0.315887
19,-0.03981,0.315887
20,-0.0398,0.315887
21,-0.03979,0.315887
22,-0.03978,0.315887
23,-0.03977,0.315887
24,-0.03976,0.315887
25,-0.03975,0.315887
26,-0.03974,0.315887
27,-0.03973,0.315887
28,-0.03972,0.315887
29,-0.03971,0.315887
30,-0.0397,0.315887
31,-0.03969,0.315887
32,-0.03968,0.315887
33,-0.03967,0.315887
34,-0.03966,0.315887
35,-0.03965,0.315887
36,-0.03964,0.315887
37,-0.03963,0.315887
38,-0.03962,0.315887
39,-0.03961,0.315887
40,-0.0396,0.315887
41,-0.03959,0.315887
42,-0.03958,0.315887
43,-0.03957,0.315887
44,-0.03956,0.315887
45,-0.03955,0.315887
46,-0.03954,0.315887
47,-0.03953,0.315887
48,-0.03952,0.315887
49,-0.03951,0.315887
50,-0.0395,0.315887
51,-0.03949,0.315887
52,-0.03948,0.315887
53,-0.03947,0.315887
54,-0.03946,0.315887
55,-0.03945,0.315887
56,-0.03944,0.315887
57,-0.03943,0.315887
58,-0.03942,0.315887
59,-0.03941,0.315887
60,-0.0394,0.315887
61,-0.03939,0.315887
62,-0.03938,0.315887
63,-0.03937,0.315887
64,-0.03936,0.315887
65,-0.03935,0.315887
66,-0.03934,0.315887
67,-0.03933,0.315887
68,-0.03932,0.315887
69,-0.03931,0.315887
70,-0.0393,0.315887
71,-0.03929,0.315887
72,-0.03928,0.315887
73,-0.03927,0.315887
74,-0.03926,0.315887
75,-0.03925,0.315887
76,-0.03924,0.315887
77,-0.03923,0.315887
78,-0.03922,0.315887
79,-0.03921,0.315887
80,-0.0392,0.315887
81,-0.03919,0.315887
82,-0.03918,0.315887
83,-0.03917,0.315887
84,-0.03916,0.315887
85,-0.03915,0.315887
86,-0.03914,0.315887
87,-0.03913,0.315887
88,-0.03912,0.315887
89,-0.03911,0.315887
90,-0.0391,0.315887
91,-0.03909,0.315887
92,-0.03908,0.315887
93,-0.03907,0.315887
94,-0.03906,0.315887
95,-0.03905,0.315887
96,-0.03904,0.315887
97,-0.03903,0.315887
98,-0.03902,0.315887
99,-0.03901,0.315887
100,-0.039,0.315887
101,-0.03899,0.315887
102,-0.03898,0.315887
103,-0.03897,0.315887
104,-0.03896,0.315887
105,-0.03895,0.315887
106,-0.03894,0.315887
107,-0.03893,0.315887
108,-0.03892,0.315887
109,-0.03891,0.315887
110,-0.0389,0.315887
111,-0.03889,0.315887
112,-0.03888,0.315887
113,-0.03887,0.315887
114,-0.03886,0.315887
115,-0.03885,0.315887
116,-0.03884,0.315887
117,-0.03883,0.315887
118,-0.03882,0.315887
119,-0.03881,0.315887
120,-0.0388,0.315887
121,-0.03879,0.315887
122,-0.03878,0.315887
123,-0.03877,0.315887
124,-0.03876,0.315887
125,-0.03875,0.315887
126,-0.03874,0.315887
127,-0.03873,0.315887
128,-0.03872,0.315887
129,-0.03871,0.315887
130,-0.0387,0.315887
131,-0.03869,0.315887
132,-0.03868,0.315887
133,-0.03867,0.315887
134,-0.03866,0.315887
135,-0.03865,0.315887
136,-0.03864,0.315887
137,-0.03863,0.315887
138,-0.03862,0.315887
139,-0.03861,0.315887
140,-0.0386,0.315887
141,-0.03859,0.315887
142,-0.03858,0.315887
143,-0.03857,0.315887
144,-0.03856,0.315887
145,-0.03855,0.315887
146,-0.03854,0.315887
147,-0.03853,0.315887
148,-0.03852,0.315887
149,-0.03851,0.315887
150,-0.0385,0.315887
151,-0.03849,0.315887
152,-0.03848,0.315887
