;Scopy version,438f138
;Exported on,dimanche décembre 15/12/2024
;Device,M2K
;Nr of samples,1600
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,0,0.493077,-0.0549044
1,0.001,0.493077,-0.0549044
2,0.002,0.493077,-0.0549044
3,0.003,0.493077,-0.0549044
4,0.004,0.493077,-0.0366029
5,0.005,0.493077,-0.0366029
6,0.006,0.494816,-0.0366029
7,0.007,0.494816,0
8,0.008,0.491338,0
9,0.009,0.496554,0
10,0.01,0.493077,0
11,0.011,0.494816,0
12,0.012,0.493077,0
13,0.013,0.494816,-0.0549044
14,0.014,0.494816,-0.0549044
15,0.015,0.494816,-0.0549044
16,0.016,0.491338,-0.0549044
17,0.017,0.494816,-0.0549044
18,0.018,0.494816,-0.0549044
19,0.019,0.494816,-0.0549044
20,0.02,0.494816,-0.0549044
21,0.021,0.494816,-0.0549044
22,0.022,0.494816,-0.0549044
23,0.023,0.496554,-0.0549044
24,0.024,0.493077,-0.0366029
25,0.025,0.493077,-0.0366029
26,0.026,0.493077,-0.0366029
27,0.027,0.493077,0
28,0.028,0.491338,0
29,0.029,0.494816,0
30,0.03,0.493077,0
31,0.031,0.493077,0
32,0.032,0.48786,-0.0549044
33,0.033,0.493077,-0.0549044
34,0.034,0.491338,-0.0549044
35,0.035,0.494816,-0.0549044
36,0.036,0.491338,-0.0549044
37,0.037,0.493077,-0.0549044
38,0.038,0.493077,-0.0549044
39,0.039,0.493077,-0.0549044
40,0.04,0.493077,-0.0549044
41,0.041,0.493077,-0.0549044
42,0.042,0.493077,-0.0549044
43,0.043,0.493077,-0.0549044
44,0.044,0.493077,-0.0549044
45,0.045,0.493077,0
46,0.046,0.493077,0
47,0.047,0.493077,0
48,0.048,0.493077,0
49,0.049,0.493077,0
50,0.05,0.493077,0
51,0.051,0.493077,0
52,0.052,0.493077,-0.0366029
53,0.053,0.494816,-0.0366029
54,0.054,0.494816,-0.0366029
55,0.055,0.494816,-0.0549044
56,0.056,0.493077,-0.0549044
57,0.057,0.493077,-0.0549044
58,0.058,0.493077,-0.0549044
59,0.059,0.493077,-0.0549044
60,0.06,0.493077,-0.0549044
61,0.061,0.493077,-0.0549044
62,0.062,0.494816,-0.0549044
63,0.063,0.494816,-0.0549044
64,0.064,0.493077,-0.0549044
