;Scopy version,438f138
;Exported on,samedi décembre 14/12/2024
;Device,M2K
;Nr of samples,3200
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-1.6,0.564337
1,-1.599,0.566076
2,-1.598,0.566076
3,-1.597,0.567815
4,-1.596,0.567815
5,-1.595,0.567815
6,-1.594,0.567815
7,-1.593,0.567815
8,-1.592,0.567815
9,-1.591,0.567815
10,-1.59,0.567815
11,-1.589,0.567815
12,-1.588,0.567815
13,-1.587,0.566076
14,-1.586,0.569554
15,-1.585,0.567815
16,-1.584,0.564337
17,-1.583,0.566076
18,-1.582,0.566076
19,-1.581,0.566076
20,-1.58,0.566076
21,-1.579,0.566076
22,-1.578,0.566076
23,-1.577,0.566076
24,-1.576,0.566076
25,-1.575,0.566076
26,-1.574,0.566076
27,-1.573,0.566076
28,-1.572,0.566076
29,-1.571,0.566076
30,-1.57,0.567815
31,-1.569,0.567815
32,-1.568,0.567815
33,-1.567,0.567815
34,-1.566,0.567815
35,-1.565,0.567815
36,-1.564,0.567815
37,-1.563,0.567815
38,-1.562,0.567815
39,-1.561,0.567815
40,-1.56,0.566076
41,-1.559,0.564337
42,-1.558,0.567815
43,-1.557,0.567815
44,-1.556,0.567815
45,-1.555,0.567815
46,-1.554,0.567815
47,-1.553,0.567815
48,-1.552,0.567815
49,-1.551,0.567815
50,-1.55,0.567815
51,-1.549,0.567815
52,-1.548,0.567815
53,-1.547,0.567815
54,-1.546,0.567815
55,-1.545,0.567815
56,-1.544,0.566076
57,-1.543,0.564337
58,-1.542,0.567815
59,-1.541,0.567815
60,-1.54,0.567815
61,-1.539,0.567815
62,-1.538,0.567815
63,-1.537,0.567815
64,-1.536,0.567815
65,-1.535,0.567815
66,-1.534,0.567815
67,-1.533,0.567815
68,-1.532,0.567815
69,-1.531,0.567815
70,-1.53,0.569554
71,-1.529,0.569554
72,-1.528,0.569554
73,-1.527,0.569554
74,-1.526,0.569554
75,-1.525,0.569554
76,-1.524,0.567815
77,-1.523,0.569554
78,-1.522,0.569554
79,-1.521,0.569554
80,-1.52,0.567815
81,-1.519,0.564337
82,-1.518,0.566076
83,-1.517,0.566076
84,-1.516,0.566076
85,-1.515,0.566076
86,-1.514,0.566076
87,-1.513,0.566076
88,-1.512,0.566076
89,-1.511,0.566076
90,-1.51,0.566076
91,-1.509,0.567815
92,-1.508,0.567815
93,-1.507,0.567815
94,-1.506,0.567815
95,-1.505,0.567815
96,-1.504,0.566076
97,-1.503,0.566076
98,-1.502,0.566076
99,-1.501,0.567815
100,-1.5,0.567815
101,-1.499,0.567815
102,-1.498,0.567815
103,-1.497,0.567815
104,-1.496,0.567815
105,-1.495,0.567815
106,-1.494,0.567815
107,-1.493,0.567815
108,-1.492,0.567815
109,-1.491,0.566076
110,-1.49,0.569554
111,-1.489,0.569554
112,-1.488,0.566076
113,-1.487,0.567815
114,-1.486,0.567815
115,-1.485,0.567815
116,-1.484,0.566076
117,-1.483,0.564337
118,-1.482,0.567815
119,-1.481,0.567815
120,-1.48,0.566076
121,-1.479,0.566076
122,-1.478,0.564337
123,-1.477,0.567815
124,-1.476,0.567815
125,-1.475,0.567815
126,-1.474,0.567815
127,-1.473,0.567815
128,-1.472,0.567815
129,-1.471,0.567815
130,-1.47,0.567815
131,-1.469,0.567815
132,-1.468,0.567815
133,-1.467,0.567815
134,-1.466,0.566076
135,-1.465,0.569554
136,-1.464,0.566076
137,-1.463,0.567815
138,-1.462,0.567815
139,-1.461,0.567815
140,-1.46,0.567815
141,-1.459,0.567815
142,-1.458,0.566076
143,-1.457,0.569554
144,-1.456,0.566076
145,-1.455,0.566076
146,-1.454,0.566076
147,-1.453,0.566076
148,-1.452,0.567815
149,-1.451,0.567815
150,-1.45,0.567815
151,-1.449,0.567815
152,-1.448,0.567815
153,-1.447,0.564337
154,-1.446,0.564337
155,-1.445,0.567815
156,-1.444,0.567815
157,-1.443,0.566076
158,-1.442,0.567815
159,-1.441,0.567815
160,-1.44,0.567815
161,-1.439,0.564337
162,-1.438,0.566076
163,-1.437,0.567815
164,-1.436,0.567815
165,-1.435,0.567815
166,-1.434,0.567815
167,-1.433,0.567815
168,-1.432,0.567815
169,-1.431,0.567815
170,-1.43,0.567815
171,-1.429,0.567815
172,-1.428,0.567815
173,-1.427,0.567815
174,-1.426,0.566076
175,-1.425,0.569554
176,-1.424,0.566076
177,-1.423,0.567815
178,-1.422,0.567815
179,-1.421,0.567815
180,-1.42,0.567815
181,-1.419,0.567815
182,-1.418,0.567815
183,-1.417,0.567815
184,-1.416,0.567815
185,-1.415,0.567815
186,-1.414,0.571293
187,-1.413,0.571293
188,-1.412,0.573032
189,-1.411,0.573032
190,-1.41,0.573032
191,-1.409,0.573032
192,-1.408,0.573032
193,-1.407,0.573032
194,-1.406,0.573032
195,-1.405,0.573032
196,-1.404,0.573032
197,-1.403,0.573032
198,-1.402,0.573032
199,-1.401,0.573032
200,-1.4,0.574771
201,-1.399,0.571293
202,-1.398,0.573032
203,-1.397,0.573032
204,-1.396,0.573032
205,-1.395,0.573032
206,-1.394,0.573032
207,-1.393,0.574771
208,-1.392,0.574771
209,-1.391,0.571293
210,-1.39,0.573032
211,-1.389,0.573032
212,-1.388,0.573032
213,-1.387,0.573032
214,-1.386,0.573032
215,-1.385,0.573032
216,-1.384,0.573032
217,-1.383,0.569554
218,-1.382,0.571293
219,-1.381,0.571293
220,-1.38,0.571293
221,-1.379,0.571293
222,-1.378,0.571293
223,-1.377,0.571293
224,-1.376,0.573032
225,-1.375,0.569554
226,-1.374,0.569554
227,-1.373,0.573032
228,-1.372,0.573032
229,-1.371,0.573032
230,-1.37,0.573032
231,-1.369,0.573032
232,-1.368,0.574771
233,-1.367,0.571293
234,-1.366,0.573032
235,-1.365,0.573032
236,-1.364,0.573032
237,-1.363,0.573032
238,-1.362,0.573032
239,-1.361,0.573032
240,-1.36,0.573032
241,-1.359,0.573032
242,-1.358,0.573032
243,-1.357,0.573032
244,-1.356,0.573032
245,-1.355,0.573032
246,-1.354,0.573032
247,-1.353,0.571293
248,-1.352,0.574771
249,-1.351,0.571293
250,-1.35,0.573032
251,-1.349,0.573032
252,-1.348,0.573032
253,-1.347,0.573032
254,-1.346,0.573032
255,-1.345,0.573032
256,-1.344,0.573032
257,-1.343,0.573032
258,-1.342,0.573032
259,-1.341,0.573032
260,-1.34,0.573032
261,-1.339,0.573032
262,-1.338,0.571293
263,-1.337,0.574771
264,-1.336,0.574771
265,-1.335,0.573032
266,-1.334,0.573032
267,-1.333,0.573032
268,-1.332,0.574771
269,-1.331,0.574771
270,-1.33,0.574771
271,-1.329,0.574771
272,-1.328,0.574771
273,-1.327,0.573032
274,-1.326,0.573032
275,-1.325,0.573032
276,-1.324,0.573032
277,-1.323,0.573032
278,-1.322,0.573032
279,-1.321,0.573032
280,-1.32,0.573032
281,-1.319,0.571293
282,-1.318,0.571293
283,-1.317,0.571293
284,-1.316,0.571293
285,-1.315,0.571293
286,-1.314,0.573032
287,-1.313,0.573032
288,-1.312,0.573032
289,-1.311,0.573032
290,-1.31,0.573032
291,-1.309,0.573032
292,-1.308,0.573032
293,-1.307,0.573032
294,-1.306,0.573032
295,-1.305,0.571293
296,-1.304,0.574771
297,-1.303,0.571293
298,-1.302,0.573032
299,-1.301,0.573032
300,-1.3,0.573032
301,-1.299,0.573032
302,-1.298,0.573032
303,-1.297,0.571293
304,-1.296,0.574771
305,-1.295,0.571293
306,-1.294,0.573032
307,-1.293,0.573032
308,-1.292,0.573032
309,-1.291,0.573032
310,-1.29,0.571293
